,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
2,6.0,3.0,2.0,1.0,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.75,0.75,0.29277002188455997,0.7142857142857143
3,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.0,0.0
4,1.0,1.0,1.0,0.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
8,1.0,1.0,1.0,0.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0
9,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
10,,,,,,,,,,,
11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
16,,,,,,,,,,,
17,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.0,0.0
18,,,,,,,,,,,
19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
20,,,,,,,,,,,
21,1.0,2.0,0.0,1.0,0.3333333333333333,0.5,0.25,0.75,0.4,-0.5773502691896258,0.5
22,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.0,1.0
23,,,,,,,,,,,
24,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
25,15.0,0.0,0.0,6.0,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.0,
26,,,,,,,,,,,
27,7.0,31.0,5.0,0.0,0.18421052631578946,1.0,0.27906976744186046,0.8837209302325582,0.3111111111111111,0.15995247832289886,0.5555555555555556
28,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
29,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
31,1.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.4,0.6,0.4,-0.16666666666666666,0.5
32,1.0,2.0,0.0,1.0,0.3333333333333333,0.5,0.25,0.75,0.4,-0.5773502691896258,0.5
33,13.0,0.0,0.0,4.0,1.0,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.8666666666666667,0.0,
34,9.0,3.0,4.0,6.0,0.75,0.6,0.5909090909090909,0.5454545454545454,0.6666666666666666,0.16035674514745463,0.7904761904761904
35,1.0,0.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.5
36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
37,1.0,1.0,1.0,0.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5
38,7.0,1.0,0.0,0.0,0.875,1.0,0.875,1.0,0.9333333333333333,0.0,0.14285714285714285
39,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
42,1.0,2.0,1.0,0.0,0.3333333333333333,1.0,0.5,0.75,0.5,0.3333333333333333,0.6666666666666667
43,,,,,,,,,,,
44,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.0,
45,0.0,5.0,2.0,2.0,0.0,0.0,0.2222222222222222,0.5555555555555556,0.0,-0.5976143046671968,0.2142857142857143
46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
47,0.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,
48,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
49,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
50,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
51,72.0,80.0,24.0,25.0,0.47368421052631576,0.7422680412371134,0.47761194029850745,0.8064322592166173,0.5783132530120482,-0.03137953713813419,0.5542063492063493
