,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,5.0,7.0,6.0,10.0,0.4166666666666667,0.3333333333333333,0.39285714285714285,0.42857142857142855,0.37037037037037035,-0.20672455764868078,0.4512820512820513
1,7.0,1.0,3.0,3.0,0.875,0.7,0.7142857142857143,0.5714285714285714,0.7777777777777778,0.41079191812887456,0.675
2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
3,,,,,,,,,,,
4,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,5.0,0.0,3.0,3.0,1.0,0.625,0.7272727272727273,0.45454545454545453,0.7692307692307693,0.5590169943749475,0.6666666666666666
7,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0
8,6.0,2.0,5.0,4.0,0.75,0.6,0.6470588235294118,0.47058823529411764,0.6666666666666666,0.3098898934004561,0.7214285714285714
9,1.0,3.0,1.0,2.0,0.25,0.3333333333333333,0.2857142857142857,0.5714285714285714,0.2857142857142857,-0.4166666666666667,0.3333333333333333
10,,,,,,,,,,,
11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,,,,,,,,,,,
13,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.0,0.0
14,4.0,0.0,2.0,4.0,1.0,0.5,0.6,0.4,0.6666666666666666,0.4082482904638631,0.75
15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,5.0,4.0,12.0,7.0,0.5555555555555556,0.4166666666666667,0.6071428571428571,0.32142857142857145,0.47619047619047616,0.17660431427533918,0.6901041666666666
17,5.0,4.0,2.0,3.0,0.5555555555555556,0.625,0.5,0.6428571428571429,0.5882352941176471,-0.04303314829119352,0.7083333333333333
18,4.0,2.0,2.0,2.0,0.6666666666666666,0.6666666666666666,0.6,0.6,0.6666666666666666,0.16666666666666666,0.5833333333333333
19,7.0,2.0,5.0,4.0,0.7777777777777778,0.6363636363636364,0.6666666666666666,0.5,0.7,0.34188172937891387,0.7987012987012987
20,3.0,1.0,3.0,0.0,0.75,1.0,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.75,1.0
21,9.0,3.0,2.0,0.0,0.75,1.0,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.5477225575051662,0.7777777777777777
22,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
23,6.0,2.0,4.0,2.0,0.75,0.75,0.7142857142857143,0.5714285714285714,0.75,0.4166666666666667,0.8541666666666666
24,5.0,3.0,12.0,1.0,0.625,0.8333333333333334,0.8095238095238095,0.38095238095238093,0.7142857142857143,0.5891649892987402,0.8944444444444445
25,5.0,0.0,0.0,3.0,1.0,0.625,0.625,0.625,0.7692307692307693,0.0,
26,82.0,40.0,64.0,51.0,0.6721311475409836,0.6165413533834586,0.6160337552742616,0.5333391459350539,0.6431372549019607,0.23028361264511496,0.6815357277271339
