,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,1.0,3.0,2.0,2.0,0.25,0.3333333333333333,0.375,0.5,0.2857142857142857,-0.2581988897471611,0.4666666666666667
1,3.0,6.0,13.0,3.0,0.3333333333333333,0.5,0.64,0.36,0.4,0.16390251702679645,0.5614035087719298
2,,,,,,,,,,,
3,1.0,1.0,2.0,5.0,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.25,-0.1889822365046136,0.6111111111111113
4,1.0,3.0,3.0,2.0,0.25,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.2857142857142857,-0.15811388300841897,0.33333333333333337
5,2.0,2.0,1.0,1.0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285714,0.0,0.33333333333333337
6,4.0,1.0,1.0,4.0,0.8,0.5,0.5,0.5,0.6153846153846154,0.0,0.5
7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,3.0,0.0,3.0,2.0,1.0,0.6,0.75,0.375,0.75,0.6,0.7333333333333334
9,,,,,,,,,,,
10,,,,,,,,,,,
11,15.0,16.0,25.0,20.0,0.4838709677419355,0.42857142857142855,0.5263157894736842,0.38354166666666667,0.4545454545454545,0.03887314113876611,0.5055973266499583
