,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,1.0,3.0,2.0,2.0,0.25,0.3333333333333333,0.375,0.5,0.2857142857142857,-0.2581988897471611,0.4666666666666667
1,2.0,7.0,12.0,4.0,0.2222222222222222,0.3333333333333333,0.56,0.36,0.26666666666666666,-0.031219527052723135,0.6578947368421053
2,,,,,,,,,,,
3,3.0,1.0,2.0,3.0,0.75,0.5,0.5555555555555556,0.4444444444444444,0.6,0.15811388300841897,0.33333333333333337
4,1.0,4.0,2.0,2.0,0.2,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.25,-0.31622776601683794,0.16666666666666666
5,2.0,2.0,1.0,1.0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285714,0.0,0.4444444444444445
6,4.0,1.0,1.0,4.0,0.8,0.5,0.5,0.5,0.6153846153846154,0.0,0.5625
7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,4.0,1.0,2.0,1.0,0.8,0.8,0.75,0.625,0.8,0.4666666666666667,0.7666666666666667
9,,,,,,,,,,,
10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
11,17.0,20.0,22.0,18.0,0.4594594594594595,0.4857142857142857,0.5064935064935064,0.5168518518518519,0.47222222222222227,0.00949157995752499,0.485453216374269
