,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,10.0,9.0,4.0,5.0,0.5263157894736842,0.6666666666666666,0.5,0.6785714285714286,0.5882352941176471,-0.027381336560563567,0.46153846153846156
1,7.0,1.0,3.0,3.0,0.875,0.7,0.7142857142857143,0.5714285714285714,0.7777777777777778,0.41079191812887456,0.725
2,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
4,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
5,,,,,,,,,,,
6,6.0,0.0,3.0,2.0,1.0,0.75,0.8181818181818182,0.5454545454545454,0.8571428571428571,0.6708203932499369,0.8333333333333334
7,1.0,0.0,1.0,3.0,1.0,0.25,0.4,0.2,0.4,0.25,0.75
8,9.0,2.0,5.0,1.0,0.8181818181818182,0.9,0.8235294117647058,0.6470588235294118,0.8571428571428571,0.6326266278117372,0.8
9,1.0,3.0,1.0,2.0,0.25,0.3333333333333333,0.2857142857142857,0.5714285714285714,0.2857142857142857,-0.4166666666666667,0.3333333333333333
10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
11,,,,,,,,,,,
12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
13,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.0,0.0
14,6.0,0.0,2.0,2.0,1.0,0.75,0.8,0.6,0.8571428571428571,0.6123724356957946,1.0
15,,,,,,,,,,,
16,10.0,7.0,9.0,2.0,0.5882352941176471,0.8333333333333334,0.6785714285714286,0.6071428571428571,0.6896551724137931,0.40109031437471165,0.75
17,5.0,2.0,4.0,3.0,0.7142857142857143,0.625,0.6428571428571429,0.5,0.6666666666666666,0.28867513459481287,0.6875
18,4.0,1.0,3.0,2.0,0.8,0.6666666666666666,0.7,0.5,0.7272727272727273,0.408248290463863,0.875
19,10.0,1.0,6.0,1.0,0.9090909090909091,0.9090909090909091,0.8888888888888888,0.6111111111111112,0.9090909090909091,0.7662337662337663,0.8961038961038961
20,2.0,2.0,2.0,1.0,0.5,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.16666666666666666,0.5833333333333333
21,7.0,2.0,3.0,2.0,0.7777777777777778,0.7777777777777778,0.7142857142857143,0.6428571428571429,0.7777777777777778,0.37777777777777777,0.7333333333333333
22,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
23,6.0,2.0,4.0,2.0,0.75,0.75,0.7142857142857143,0.5714285714285714,0.75,0.4166666666666667,0.7916666666666666
24,5.0,5.0,10.0,1.0,0.5,0.8333333333333334,0.7142857142857143,0.47619047619047616,0.625,0.45226701686664544,0.8333333333333334
25,3.0,0.0,0.0,5.0,1.0,0.375,0.375,0.375,0.5454545454545454,0.0,
26,93.0,44.0,63.0,37.0,0.6788321167883211,0.7153846153846154,0.6582278481012658,0.6160478552422287,0.696629213483146,0.30649202373524764,0.6908422306859807
