,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,10.0,0.0,0.0,2.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.0,
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
2,0.0,2.0,3.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
6,,,,,,,,,,,
7,1.0,2.0,1.0,0.0,0.3333333333333333,1.0,0.5,0.75,0.5,0.3333333333333333,1.0
8,,,,,,,,,,,
9,,,,,,,,,,,
10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
11,,,,,,,,,,,
12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,,,,,,,,,,,
15,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.0,
16,,,,,,,,,,,
17,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.0,0.0
18,,,,,,,,,,,
19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
28,1.0,2.0,0.0,1.0,0.3333333333333333,0.5,0.25,0.75,0.4,-0.5773502691896258,0.5
29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,,,,,,,,,,,
31,2.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.0,
32,,,,,,,,,,,
33,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
34,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
36,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.0,
37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
38,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,-1.0,0.0
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
46,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
47,,,,,,,,,,,
48,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
49,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
50,13.0,2.0,3.0,10.0,0.8666666666666667,0.5652173913043478,0.5714285714285714,0.5357142857142857,0.6842105263157895,0.12687830702589378,0.5782608695652174
51,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
52,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
53,,,,,,,,,,,
54,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
55,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
56,32.0,20.0,11.0,32.0,0.6153846153846154,0.5,0.45263157894736844,0.444187675070028,0.5517241379310345,-0.1367369077381529,0.5097826086956522
