,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,1.0,0.0,0.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,
4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
6,0.0,1.0,14.0,0.0,0.0,0.0,0.9333333333333333,0.06666666666666667,0.0,0.0,
7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
8,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
9,,,,,,,,,,,
10,25.0,0.0,0.0,33.0,1.0,0.43103448275862066,0.43103448275862066,0.43103448275862066,0.6024096385542169,0.0,
11,2.0,269.0,51.0,0.0,0.007380073800738007,1.0,0.16459627329192547,0.8416149068322981,0.014652014652014652,0.0342957615747576,0.9984375000000001
12,,,,,,,,,,,
13,28.0,275.0,68.0,36.0,0.0924092409240924,0.4375,0.23587223587223588,0.48214622847306504,0.1525885558583106,-0.30401691977567674,0.9984375000000001
