,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
1,6.0,2.0,2.0,3.0,0.75,0.6666666666666666,0.6153846153846154,0.6153846153846154,0.7058823529411765,0.15811388300841897,0.6944444444444444
2,11.0,2.0,2.0,8.0,0.8461538461538461,0.5789473684210527,0.5652173913043478,0.5652173913043478,0.6875,0.06036327274391503,0.5921052631578947
3,4.0,1.0,0.0,8.0,0.8,0.3333333333333333,0.3076923076923077,0.38461538461538464,0.47058823529411764,-0.3651483716701107,0.0
4,1.0,0.0,1.0,3.0,1.0,0.25,0.4,0.2,0.4,0.25,0.5
5,2.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.75,0.6666666666666666,-0.3333333333333333,0.3333333333333333
6,5.0,0.0,0.0,4.0,1.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7142857142857143,0.0,
7,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.0,
8,,,,,,,,,,,
9,2.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.75,0.5,0.8,0.5773502691896258,1.0
10,,,,,,,,,,,
11,1.0,0.0,1.0,3.0,1.0,0.25,0.4,0.2,0.4,0.25,0.5
12,1.0,0.0,1.0,2.0,1.0,0.3333333333333333,0.5,0.25,0.5,0.3333333333333333,1.0
13,1.0,2.0,0.0,3.0,0.3333333333333333,0.25,0.16666666666666666,0.5,0.2857142857142857,-0.7071067811865476,0.0
14,,,,,,,,,,,
15,6.0,7.0,11.0,3.0,0.46153846153846156,0.6666666666666666,0.6296296296296297,0.48148148148148145,0.5454545454545454,0.26207120918047955,0.6234567901234567
16,3.0,0.0,2.0,4.0,1.0,0.42857142857142855,0.5555555555555556,0.3333333333333333,0.6,0.3779644730092272,0.5
17,5.0,0.0,0.0,2.0,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.0,
18,2.0,1.0,1.0,4.0,0.6666666666666666,0.3333333333333333,0.375,0.375,0.4444444444444444,-0.14907119849998599,0.4166666666666667
19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,3.0,1.0,2.0,1.0,0.75,0.75,0.7142857142857143,0.5714285714285714,0.75,0.4166666666666667,0.6666666666666667
21,3.0,1.0,1.0,8.0,0.75,0.2727272727272727,0.3076923076923077,0.3076923076923077,0.4,-0.17766726362967536,0.2727272727272727
22,12.0,0.0,2.0,23.0,1.0,0.34285714285714286,0.3783783783783784,0.32432432432432434,0.5106382978723404,0.165615734242165,0.9714285714285714
23,1.0,1.0,0.0,2.0,0.5,0.3333333333333333,0.25,0.5,0.4,-0.5773502691896258,0.0
24,4.0,0.0,0.0,5.0,1.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.6153846153846154,0.0,
25,5.0,7.0,4.0,7.0,0.4166666666666667,0.4166666666666667,0.391304347826087,0.5217391304347826,0.4166666666666667,-0.2196969696969697,0.4696969696969697
26,6.0,2.0,4.0,5.0,0.75,0.5454545454545454,0.5882352941176471,0.47058823529411764,0.631578947368421,0.2030905986149808,0.7121212121212122
27,8.0,0.0,4.0,4.0,1.0,0.6666666666666666,0.75,0.5,0.8,0.5773502691896258,0.8125
28,6.0,2.0,4.0,4.0,0.75,0.6,0.625,0.5,0.6666666666666666,0.2581988897471611,0.5333333333333333
29,6.0,1.0,2.0,5.0,0.8571428571428571,0.5454545454545454,0.5714285714285714,0.5,0.6666666666666666,0.17407765595569785,0.696969696969697
30,9.0,0.0,2.0,7.0,1.0,0.5625,0.6111111111111112,0.5,0.72,0.3535533905932738,0.875
31,114.0,32.0,47.0,123.0,0.7808219178082192,0.4810126582278481,0.509493670886076,0.4487532317706779,0.5953002610966058,0.06596460848762054,0.529150009594327
