,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
1,6.0,2.0,2.0,3.0,0.75,0.6666666666666666,0.6153846153846154,0.6153846153846154,0.7058823529411765,0.15811388300841897,0.6944444444444444
2,9.0,2.0,2.0,10.0,0.8181818181818182,0.47368421052631576,0.4782608695652174,0.4782608695652174,0.6,-0.01996807659577179,0.4473684210526316
3,5.0,1.0,0.0,7.0,0.8333333333333334,0.4166666666666667,0.38461538461538464,0.46153846153846156,0.5555555555555556,-0.31180478223116176,0.0
4,3.0,0.0,1.0,1.0,1.0,0.75,0.8,0.6,0.8571428571428571,0.6123724356957946,0.75
5,2.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.75,0.6666666666666666,-0.3333333333333333,0.6666666666666666
6,4.0,0.0,0.0,5.0,1.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.6153846153846154,0.0,
7,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.0,
8,,,,,,,,,,,
9,1.0,0.0,1.0,2.0,1.0,0.3333333333333333,0.5,0.25,0.5,0.3333333333333333,1.0
10,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.0,
11,2.0,1.0,0.0,2.0,0.6666666666666666,0.5,0.4,0.6,0.5714285714285714,-0.4082482904638631,0.5
12,2.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.75,0.5,0.8,0.5773502691896258,1.0
13,2.0,1.0,1.0,2.0,0.6666666666666666,0.5,0.5,0.5,0.5714285714285714,0.0,0.625
14,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.0,
15,3.0,10.0,8.0,6.0,0.23076923076923078,0.3333333333333333,0.4074074074074074,0.48148148148148145,0.2727272727272727,-0.20965696734438363,0.32098765432098764
16,4.0,0.0,2.0,3.0,1.0,0.5714285714285714,0.6666666666666666,0.4444444444444444,0.7272727272727273,0.47809144373375745,0.7857142857142857
17,4.0,0.0,0.0,3.0,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7272727272727273,0.0,
18,3.0,1.0,1.0,3.0,0.75,0.5,0.5,0.5,0.6,0.0,0.41666666666666663
19,,,,,,,,,,,
20,3.0,1.0,2.0,1.0,0.75,0.75,0.7142857142857143,0.5714285714285714,0.75,0.4166666666666667,0.75
21,7.0,2.0,0.0,4.0,0.7777777777777778,0.6363636363636364,0.5384615384615384,0.6923076923076923,0.7,-0.2842676218074806,0.13636363636363635
22,15.0,0.0,2.0,20.0,1.0,0.42857142857142855,0.4594594594594595,0.40540540540540543,0.6,0.19738550848793068,0.8714285714285714
23,2.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.75,0.5,0.8,0.5773502691896258,1.0
24,6.0,0.0,0.0,3.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.0,
25,6.0,7.0,4.0,6.0,0.46153846153846156,0.5,0.43478260869565216,0.5652173913043478,0.48,-0.13740858372430334,0.4318181818181818
26,5.0,2.0,4.0,6.0,0.7142857142857143,0.45454545454545453,0.5294117647058824,0.4117647058823529,0.5555555555555556,0.11769797726729993,0.5454545454545454
27,8.0,0.0,4.0,4.0,1.0,0.6666666666666666,0.75,0.5,0.8,0.5773502691896258,0.8333333333333333
28,6.0,2.0,4.0,4.0,0.75,0.6,0.625,0.5,0.6666666666666666,0.2581988897471611,0.6666666666666666
29,6.0,2.0,1.0,5.0,0.75,0.5454545454545454,0.5,0.5714285714285714,0.631578947368421,-0.10050378152592121,0.5757575757575758
30,11.0,0.0,2.0,5.0,1.0,0.6875,0.7222222222222222,0.6111111111111112,0.8148148148148148,0.44320263021395917,0.71875
31,128.0,36.0,43.0,112.0,0.7804878048780488,0.5333333333333333,0.5360501567398119,0.523872862200757,0.6336633663366336,0.06705032239508026,0.5972356804212258
