,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,,,,,,,,,,,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,8.0,2.0,0.0,0.0,0.8,1.0,0.8,1.0,0.8888888888888888,0.0,0.125
6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
7,,,,,,,,,,,
8,1.0,2.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,0.0,0.0
9,2.0,2.0,0.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.0,0.25
10,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.0,0.0
11,1.0,3.0,0.0,0.0,0.25,1.0,0.25,1.0,0.4,0.0,0.0
12,1.0,1.0,1.0,0.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5
13,,,,,,,,,,,
14,13.0,1.0,0.0,2.0,0.9285714285714286,0.8666666666666667,0.8125,0.875,0.896551724137931,-0.09759000729485333,0.6333333333333333
15,,,,,,,,,,,
16,,,,,,,,,,,
17,27.0,13.0,1.0,2.0,0.675,0.9310344827586207,0.6511627906976745,0.9427083333333333,0.7826086956521738,0.0045305023518296865,0.21547619047619046
