,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
2,,,,,,,,,,,
3,1.0,5.0,3.0,1.0,0.16666666666666666,0.5,0.4,0.6,0.25,-0.10206207261596577,0.625
4,2.0,3.0,1.0,2.0,0.4,0.5,0.375,0.625,0.4444444444444444,-0.2581988897471611,0.5625
5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
6,4.0,1.0,3.0,5.0,0.8,0.4444444444444444,0.5384615384615384,0.38461538461538464,0.5714285714285714,0.18446619684315546,0.638888888888889
7,0.0,3.0,1.0,3.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,-0.75,0.08333333333333333
8,3.0,6.0,5.0,0.0,0.3333333333333333,1.0,0.5714285714285714,0.6428571428571429,0.5,0.3892494720807615,0.8787878787878787
9,0.0,4.0,4.0,2.0,0.0,0.0,0.4,0.4,0.0,-0.4082482904638631,0.25
10,1.0,3.0,2.0,2.0,0.25,0.3333333333333333,0.375,0.5,0.2857142857142857,-0.2581988897471611,0.33333333333333326
11,0.0,3.0,3.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
12,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
13,2.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.75,0.5,0.8,0.5773502691896258,1.0
14,1.0,2.0,2.0,1.0,0.3333333333333333,0.5,0.5,0.5,0.4,0.0,0.5
15,2.0,3.0,3.0,4.0,0.4,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.36363636363636365,-0.1690308509457033,0.5
16,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
18,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
19,,,,,,,,,,,
20,2.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.75,0.6666666666666666,-0.3333333333333333,0.6666666666666666
21,2.0,1.0,4.0,0.0,0.6666666666666666,1.0,0.8571428571428571,0.42857142857142855,0.8,0.7302967433402214,1.0
22,6.0,6.0,7.0,8.0,0.5,0.42857142857142855,0.48148148148148145,0.4444444444444444,0.46153846153846156,-0.033149677206589796,0.510989010989011
23,2.0,2.0,2.0,1.0,0.5,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.16666666666666666,0.41666666666666663
24,,,,,,,,,,,
25,1.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.4,0.6,0.4,-0.16666666666666666,0.33333333333333337
26,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
27,2.0,1.0,3.0,0.0,0.6666666666666666,1.0,0.8333333333333334,0.5,0.8,0.7071067811865476,1.0
28,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,1.0,0.0,0.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,
33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
34,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
39,0.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.5,0.0
40,32.0,59.0,48.0,44.0,0.3516483516483517,0.42105263157894735,0.4371584699453552,0.5309297333490881,0.3832335329341317,-0.12846729225191453,0.40432604834778746
