,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,1.0,1.0,1.0,0.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0
1,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
2,18.0,15.0,10.0,4.0,0.5454545454545454,0.8181818181818182,0.5957446808510638,0.7021276595744681,0.6545454545454545,0.23805588025744623,0.7281818181818182
3,,,,,,,,,,,
4,,,,,,,,,,,
5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
6,10.0,0.0,7.0,1.0,1.0,0.9090909090909091,0.9444444444444444,0.5555555555555556,0.9523809523809523,0.8918825850158447,0.9870129870129871
7,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
8,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.0,
9,,,,,,,,,,,
10,6.0,2.0,3.0,2.0,0.75,0.75,0.6923076923076923,0.6153846153846154,0.75,0.35,0.75
11,1.0,1.0,0.0,1.0,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,-0.5,0.0
12,2.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.75,0.5,0.8,0.5773502691896258,0.8333333333333333
13,,,,,,,,,,,
14,,,,,,,,,,,
15,9.0,4.0,9.0,5.0,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.48148148148148145,0.6666666666666666,0.33516483516483514,0.7582417582417582
16,0.0,4.0,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,
17,3.0,7.0,4.0,2.0,0.3,0.6,0.4375,0.625,0.4,-0.034815531191139566,0.6181818181818182
18,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
19,0.0,4.0,2.0,1.0,0.0,0.0,0.2857142857142857,0.5714285714285714,0.0,-0.47140452079103173,0.0
20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,53.0,41.0,41.0,19.0,0.5638297872340425,0.7361111111111112,0.6103896103896104,0.5740194510473765,0.6385542168674699,0.24157392041123282,0.6977228831774286
