,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,1.0,2.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,0.0,0.5
1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
2,20.0,10.0,15.0,2.0,0.6666666666666666,0.9090909090909091,0.7446808510638298,0.6382978723404256,0.7692307692307693,0.5286784384345528,0.7545454545454546
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,,,,,,,,,,,
5,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
6,8.0,2.0,5.0,3.0,0.8,0.7272727272727273,0.7222222222222222,0.5555555555555556,0.7619047619047619,0.4332001127219817,0.7207792207792209
7,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
8,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.0,
9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,5.0,1.0,4.0,3.0,0.8333333333333334,0.625,0.6923076923076923,0.46153846153846156,0.7142857142857143,0.4147575310031266,0.7125
11,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0
12,0.0,0.0,1.0,3.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5
13,,,,,,,,,,,
14,,,,,,,,,,,
15,11.0,8.0,5.0,3.0,0.5789473684210527,0.7857142857142857,0.5925925925925926,0.7037037037037037,0.6666666666666666,0.18638210221950421,0.5851648351648351
16,0.0,4.0,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,
17,5.0,9.0,2.0,0.0,0.35714285714285715,1.0,0.4375,0.875,0.5263157894736842,0.2548235957188128,0.5909090909090908
18,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
19,1.0,3.0,3.0,0.0,0.25,1.0,0.5714285714285714,0.5714285714285714,0.4,0.3535533905932738,0.75
20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,,,,,,,,,,,
22,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.0,
23,56.0,42.0,40.0,20.0,0.5714285714285714,0.7368421052631579,0.6075949367088608,0.48801004374912543,0.6436781609195403,0.23127338147532878,0.6921726001271457
