,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,1.0,3.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,0.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,
4,8.0,1.0,4.0,9.0,0.8888888888888888,0.47058823529411764,0.5454545454545454,0.4090909090909091,0.6153846153846154,0.23063512107853829,0.6588235294117647
5,18.0,0.0,0.0,26.0,1.0,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.5806451612903226,0.0,
6,3.0,1.0,1.0,1.0,0.75,0.75,0.6666666666666666,0.6666666666666666,0.75,0.25,0.5
7,2.0,3.0,0.0,3.0,0.4,0.4,0.25,0.625,0.4,-0.6,0.33333333333333337
8,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.0,
9,3.0,2.0,1.0,4.0,0.6,0.42857142857142855,0.4,0.5,0.5,-0.2182178902359924,0.380952380952381
10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,,,,,,,,,,,
12,1.0,2.0,1.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,-0.3333333333333333,0.22222222222222224
13,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
14,0.0,2.0,1.0,3.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,-0.7071067811865476,0.33333333333333337
15,4.0,0.0,2.0,3.0,1.0,0.5714285714285714,0.6666666666666666,0.4444444444444444,0.7272727272727273,0.47809144373375745,1.0
16,1.0,1.0,0.0,2.0,0.5,0.3333333333333333,0.25,0.5,0.4,-0.5773502691896258,0.0
17,2.0,0.0,2.0,4.0,1.0,0.3333333333333333,0.5,0.25,0.5,0.3333333333333333,0.5833333333333333
18,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
19,0.0,3.0,3.0,1.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,-0.3535533905932738,0.0
20,0.0,1.0,2.0,1.0,0.0,0.0,0.5,0.25,0.0,-0.3333333333333333,0.33333333333333337
21,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
22,2.0,3.0,0.0,4.0,0.4,0.3333333333333333,0.2222222222222222,0.5555555555555556,0.36363636363636365,-0.6324555320336759,0.2222222222222222
23,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
24,6.0,2.0,3.0,3.0,0.75,0.6666666666666666,0.6428571428571429,0.5714285714285714,0.7058823529411765,0.25819888974716115,0.8222222222222222
25,,,,,,,,,,,
26,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
27,1.0,3.0,4.0,3.0,0.25,0.25,0.45454545454545453,0.36363636363636365,0.25,-0.17857142857142858,0.28571428571428575
28,5.0,4.0,0.0,6.0,0.5555555555555556,0.45454545454545453,0.3333333333333333,0.6,0.5,-0.4923659639173309,0.1590909090909091
29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
31,9.0,1.0,3.0,9.0,0.9,0.5,0.5454545454545454,0.45454545454545453,0.6428571428571429,0.19364916731037085,0.5833333333333334
32,4.0,1.0,4.0,2.0,0.8,0.6666666666666666,0.7272727272727273,0.45454545454545453,0.7272727272727273,0.4666666666666667,0.8333333333333334
33,0.0,3.0,1.0,2.0,0.0,0.0,0.16666666666666666,0.5,0.0,-0.7071067811865476,0.25
34,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
35,0.0,2.0,1.0,2.0,0.0,0.0,0.2,0.4,0.0,-0.6666666666666666,0.0
36,3.0,2.0,5.0,2.0,0.6,0.6,0.6666666666666666,0.4166666666666667,0.6,0.3142857142857143,0.6571428571428573
37,2.0,2.0,1.0,4.0,0.5,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4,-0.31622776601683794,0.44444444444444453
38,0.0,2.0,2.0,1.0,0.0,0.0,0.4,0.4,0.0,-0.4082482904638631,0.5
39,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
40,,,,,,,,,,,
41,1.0,2.0,6.0,1.0,0.3333333333333333,0.5,0.7,0.3,0.4,0.2182178902359924,0.6875
42,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.0,
43,78.0,52.0,54.0,107.0,0.6,0.42162162162162165,0.4536082474226804,0.4261496544391281,0.4952380952380953,-0.0667349409624888,0.3853691097651182
