,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,1.0,3.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,1.0,0.0,5.0,16.0,1.0,0.058823529411764705,0.2727272727272727,0.045454545454545456,0.1111111111111111,0.11834526708278771,0.5294117647058824
5,42.0,0.0,0.0,2.0,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9767441860465116,0.0,
6,4.0,2.0,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.8,0.0,0.5
7,5.0,3.0,0.0,0.0,0.625,1.0,0.625,1.0,0.7692307692307693,0.0,0.5
8,,,,,,,,,,,
9,7.0,3.0,0.0,0.0,0.7,1.0,0.7,1.0,0.8235294117647058,0.0,0.5
10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,0.0,1.0,2.0,3.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,-0.4472135954999579,0.33333333333333337
13,,,,,,,,,,,
14,0.0,0.0,3.0,3.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
15,0.0,0.0,2.0,7.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.5
16,0.0,0.0,1.0,3.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5
17,2.0,0.0,2.0,4.0,1.0,0.3333333333333333,0.5,0.25,0.5,0.3333333333333333,0.6666666666666667
18,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
19,1.0,4.0,2.0,0.0,0.2,1.0,0.42857142857142855,0.7142857142857143,0.3333333333333333,0.2581988897471611,1.0
20,1.0,3.0,0.0,0.0,0.25,1.0,0.25,1.0,0.4,0.0,0.6666666666666667
21,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
22,3.0,1.0,2.0,3.0,0.75,0.5,0.5555555555555556,0.4444444444444444,0.6,0.15811388300841897,0.38888888888888895
23,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
24,3.0,4.0,1.0,6.0,0.42857142857142855,0.3333333333333333,0.2857142857142857,0.5,0.375,-0.4472135954999579,0.2222222222222222
25,,,,,,,,,,,
26,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.0,1.0
27,2.0,1.0,6.0,2.0,0.6666666666666666,0.5,0.7272727272727273,0.2727272727272727,0.5714285714285714,0.38575837490522974,0.5892857142857142
28,3.0,1.0,3.0,8.0,0.75,0.2727272727272727,0.4,0.26666666666666666,0.4,0.022727272727272728,0.375
29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
31,6.0,0.0,4.0,12.0,1.0,0.3333333333333333,0.45454545454545453,0.2727272727272727,0.5,0.28867513459481287,0.5833333333333334
32,3.0,1.0,4.0,3.0,0.75,0.5,0.6363636363636364,0.36363636363636365,0.6,0.3105295017040594,0.6
33,0.0,1.0,3.0,2.0,0.0,0.0,0.5,0.16666666666666666,0.0,-0.31622776601683794,0.375
34,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.0,1.0
35,2.0,2.0,1.0,0.0,0.5,1.0,0.6,0.8,0.6666666666666666,0.4082482904638631,0.33333333333333337
36,2.0,1.0,6.0,3.0,0.6666666666666666,0.4,0.6666666666666666,0.25,0.5,0.29277002188455997,0.6000000000000001
37,4.0,3.0,0.0,2.0,0.5714285714285714,0.6666666666666666,0.4444444444444444,0.7777777777777778,0.6153846153846154,-0.3779644730092272,0.2777777777777778
38,1.0,3.0,1.0,0.0,0.25,1.0,0.4,0.8,0.4,0.25,0.25
39,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
40,,,,,,,,,,,
41,1.0,2.0,6.0,1.0,0.3333333333333333,0.5,0.7,0.3,0.4,0.2182178902359924,0.8125
42,,,,,,,,,,,
43,98.0,40.0,61.0,84.0,0.7101449275362319,0.5384615384615384,0.5618374558303887,0.44558853844568136,0.6125,0.13650536388367687,0.5929792750433506
