,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,2,0,1,0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0
1,0,1,0,1,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
2,0,1,0,2,0.0,0.0,0.0,0.3333333333333333,0.0,-1.0,0.0
3,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,
4,2,1,0,0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.8,0.0,0.0
5,0,1,1,0,0.0,0.0,0.5,0.5,0.0,0.0,
6,1,0,0,1,1.0,0.5,0.5,0.5,0.6666666666666666,0.0,
7,3,2,1,0,0.6,1.0,0.6666666666666666,0.8333333333333334,0.75,0.4472135954999579,0.5
8,1,1,0,1,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,-0.5,0.0
9,3,3,1,2,0.5,0.6,0.4444444444444444,0.6666666666666666,0.5454545454545454,-0.15811388300841897,0.375
10,1,0,0,1,1.0,0.5,0.5,0.5,0.6666666666666666,0.0,
11,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,
12,13,11,4,9,0.5416666666666666,0.5909090909090909,0.4594594594594595,0.5972222222222223,0.5652173913043478,-0.1464750284346583,0.26785714285714285
