,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,1.0,14.0,12.0,1.0,0.06666666666666667,0.5,0.4642857142857143,0.5357142857142857,0.11764705882352941,-0.019861453057473933,0.3269230769230769
1,0.0,6.0,8.0,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,2.0,2.0,7.0,0.0,0.5,1.0,0.8181818181818182,0.36363636363636365,0.6666666666666666,0.6236095644623235,0.7777777777777778
7,1.0,1.0,1.0,2.0,0.5,0.3333333333333333,0.4,0.4,0.4,-0.16666666666666666,0.5
8,0.0,7.0,10.0,0.0,0.0,0.0,0.5882352941176471,0.4117647058823529,0.0,0.0,
9,0.0,2.0,4.0,1.0,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,-0.2581988897471611,0.5
10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
11,,,,,,,,,,,
12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
13,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
14,0.0,8.0,2.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,
15,,,,,,,,,,,
16,3.0,6.0,19.0,0.0,0.3333333333333333,1.0,0.7857142857142857,0.32142857142857145,0.5,0.5033222956847166,0.9466666666666667
17,1.0,8.0,3.0,2.0,0.1111111111111111,0.3333333333333333,0.2857142857142857,0.6428571428571429,0.16666666666666666,-0.3373495424699933,0.2727272727272727
18,0.0,6.0,4.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,
19,1.0,6.0,11.0,0.0,0.14285714285714285,1.0,0.6666666666666666,0.3888888888888889,0.25,0.30403449605253013,0.8235294117647058
20,0.0,3.0,4.0,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,
21,0.0,6.0,8.0,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,
22,,,,,,,,,,,
23,0.0,7.0,7.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
24,0.0,12.0,8.0,1.0,0.0,0.0,0.38095238095238093,0.5714285714285714,0.0,-0.25819888974716115,0.15000000000000002
25,0.0,2.0,4.0,2.0,0.0,0.0,0.5,0.25,0.0,-0.3333333333333333,0.41666666666666663
26,9.0,100.0,114.0,10.0,0.08256880733944955,0.47368421052631576,0.5278969957081545,0.493197481012607,0.140625,0.003507240675552102,0.5238100969473519
