,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,2.0,26.0,0.0,0.0,0.07142857142857142,1.0,0.07142857142857142,1.0,0.13333333333333333,0.0,0.5
1,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
5,,,,,,,,,,,
6,2.0,9.0,0.0,0.0,0.18181818181818182,1.0,0.18181818181818182,1.0,0.3076923076923077,0.0,0.5
7,3.0,2.0,0.0,0.0,0.6,1.0,0.6,1.0,0.75,0.0,0.5
8,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
9,1.0,6.0,0.0,0.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.25,0.0,0.5
10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
11,,,,,,,,,,,
12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
14,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
15,,,,,,,,,,,
16,3.0,25.0,0.0,0.0,0.10714285714285714,1.0,0.10714285714285714,1.0,0.1935483870967742,0.0,0.5
17,3.0,11.0,0.0,0.0,0.21428571428571427,1.0,0.21428571428571427,1.0,0.35294117647058826,0.0,0.5
18,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
19,1.0,17.0,0.0,0.0,0.05555555555555555,1.0,0.05555555555555555,1.0,0.10526315789473684,0.0,0.5
20,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
21,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
22,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
23,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
24,1.0,20.0,0.0,0.0,0.047619047619047616,1.0,0.047619047619047616,1.0,0.09090909090909091,0.0,0.5
25,2.0,5.0,1.0,0.0,0.2857142857142857,1.0,0.375,0.875,0.4444444444444444,0.2182178902359924,0.5
26,18.0,218.0,1.0,0.0,0.07627118644067797,1.0,0.08016877637130802,0.9945652173913043,0.14173228346456693,0.018662000367591646,0.5
