,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,1.0,22.0,5.0,0.0,0.043478260869565216,1.0,0.21428571428571427,0.8214285714285714,0.08333333333333333,0.08973031700969425,0.7037037037037037
1,0.0,8.0,3.0,3.0,0.0,0.0,0.21428571428571427,0.5714285714285714,0.0,-0.6030226891555273,0.06060606060606062
2,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
6,1.0,6.0,3.0,1.0,0.14285714285714285,0.5,0.36363636363636365,0.6363636363636364,0.2222222222222222,-0.1336306209562122,0.5555555555555556
7,0.0,2.0,3.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,
8,0.0,10.0,7.0,0.0,0.0,0.0,0.4117647058823529,0.5882352941176471,0.0,0.0,
9,1.0,4.0,2.0,0.0,0.2,1.0,0.42857142857142855,0.7142857142857143,0.3333333333333333,0.2581988897471611,0.5
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
14,0.0,5.0,5.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
15,,,,,,,,,,,
16,0.0,12.0,15.0,1.0,0.0,0.0,0.5357142857142857,0.42857142857142855,0.0,-0.16666666666666666,0.33333333333333337
17,2.0,5.0,6.0,1.0,0.2857142857142857,0.6666666666666666,0.5714285714285714,0.5,0.4,0.17407765595569785,0.5757575757575758
18,0.0,5.0,5.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
19,1.0,7.0,10.0,0.0,0.125,1.0,0.6111111111111112,0.4444444444444444,0.2222222222222222,0.2711630722733202,0.8823529411764706
20,0.0,2.0,5.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,
21,2.0,6.0,5.0,1.0,0.25,0.6666666666666666,0.5,0.5714285714285714,0.36363636363636365,0.10050378152592121,0.42424242424242425
22,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
23,1.0,6.0,7.0,0.0,0.14285714285714285,1.0,0.5714285714285714,0.5,0.25,0.2773500981126146,0.7692307692307692
24,0.0,11.0,10.0,0.0,0.0,0.0,0.47619047619047616,0.5238095238095238,0.0,0.0,
25,3.0,2.0,2.0,1.0,0.6,0.75,0.625,0.625,0.6666666666666666,0.2581988897471611,0.6875
26,12.0,120.0,96.0,8.0,0.09090909090909091,0.6,0.4576271186440678,0.5959413655269269,0.15789473684210525,0.024931919733558856,0.5492282363605894
