,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,0.0,27.0,1.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.5
1,0.0,2.0,9.0,3.0,0.0,0.0,0.6428571428571429,0.14285714285714285,0.0,-0.21320071635561044,0.09090909090909088
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,1.0,0.0,9.0,1.0,1.0,0.5,0.9090909090909091,0.09090909090909091,0.6666666666666666,0.6708203932499369,0.888888888888889
7,,,,,,,,,,,
8,,,,,,,,,,,
9,1.0,0.0,6.0,0.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,0.0,0.0,27.0,1.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.37037037037037035
17,2.0,0.0,11.0,1.0,1.0,0.6666666666666666,0.9285714285714286,0.14285714285714285,0.8,0.7817359599705717,1.0
18,,,,,,,,,,,
19,0.0,0.0,17.0,1.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,1.0
20,,,,,,,,,,,
21,0.0,0.0,11.0,3.0,0.0,0.0,0.7857142857142857,0.0,0.0,0.0,1.0
22,,,,,,,,,,,
23,0.0,0.0,13.0,1.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,1.0
24,,,,,,,,,,,
25,0.0,0.0,4.0,4.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3125
26,4.0,2.0,134.0,16.0,0.6666666666666666,0.2,0.8846153846153846,0.051948051948051945,0.30769230769230765,0.3221252953158956,0.716266835016835
