,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,11.0,16.0,1.0,0.0,0.0,0.5714285714285714,0.39285714285714285,0.0,-0.15480678800427466,0.2962962962962963
1,1.0,8.0,3.0,2.0,0.1111111111111111,0.3333333333333333,0.2857142857142857,0.6428571428571429,0.16666666666666666,-0.3373495424699933,0.303030303030303
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,0.0,0.0,9.0,2.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.5
7,,,,,,,,,,,
8,,,,,,,,,,,
9,0.0,0.0,6.0,1.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.5
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,0.0,0.0,27.0,1.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.5
17,0.0,0.0,11.0,3.0,0.0,0.0,0.7857142857142857,0.0,0.0,0.0,0.5
18,,,,,,,,,,,
19,0.0,0.0,17.0,1.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.5
20,,,,,,,,,,,
21,0.0,0.0,11.0,3.0,0.0,0.0,0.7857142857142857,0.0,0.0,0.0,0.5
22,,,,,,,,,,,
23,0.0,0.0,13.0,1.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.5
24,,,,,,,,,,,
25,0.0,0.0,4.0,4.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
26,1.0,19.0,117.0,19.0,0.05,0.05,0.7564102564102564,0.10357142857142858,0.05000000000000001,-0.08970588235294118,0.45993265993265997
