,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,2.0,9.0,17.0,0.0,0.18181818181818182,1.0,0.6785714285714286,0.39285714285714285,0.3076923076923077,0.34479141358380555,0.9230769230769231
1,0.0,1.0,13.0,0.0,0.0,0.0,0.9285714285714286,0.07142857142857142,0.0,0.0,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,0.0,1.0,9.0,1.0,0.0,0.0,0.8181818181818182,0.09090909090909091,0.0,-0.1,0.8
7,2.0,0.0,3.0,0.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0
8,0.0,5.0,12.0,0.0,0.0,0.0,0.7058823529411765,0.29411764705882354,0.0,0.0,
9,1.0,1.0,5.0,0.0,0.5,1.0,0.8571428571428571,0.2857142857142857,0.6666666666666666,0.6454972243679028,1.0
10,,,,,,,,,,,
11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,,,,,,,,,,,
13,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
14,0.0,3.0,5.0,2.0,0.0,0.0,0.5,0.3,0.0,-0.3273268353539886,0.25
15,,,,,,,,,,,
16,0.0,9.0,19.0,0.0,0.0,0.0,0.6785714285714286,0.32142857142857145,0.0,0.0,
17,1.0,2.0,11.0,0.0,0.3333333333333333,1.0,0.8571428571428571,0.21428571428571427,0.5,0.5310850045437943,1.0
18,0.0,1.0,8.0,1.0,0.0,0.0,0.8,0.1,0.0,-0.1111111111111111,0.2222222222222222
19,1.0,5.0,12.0,0.0,0.16666666666666666,1.0,0.7222222222222222,0.3333333333333333,0.2857142857142857,0.3429971702850177,0.9411764705882353
20,0.0,2.0,5.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,
21,0.0,4.0,10.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,
22,,,,,,,,,,,
23,0.0,5.0,9.0,0.0,0.0,0.0,0.6428571428571429,0.35714285714285715,0.0,0.0,
24,1.0,5.0,15.0,0.0,0.16666666666666666,1.0,0.7619047619047619,0.2857142857142857,0.2857142857142857,0.35355339059327373,0.9
25,1.0,2.0,4.0,1.0,0.3333333333333333,0.5,0.625,0.375,0.4,0.14907119849998599,0.33333333333333337
26,9.0,56.0,158.0,7.0,0.13846153846153847,0.5625,0.7260869565217392,0.257545266910592,0.22222222222222224,0.1699697737339846,0.7369808949220713
