,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,0.0,18.0,10.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,0.19166666666666668
1,0.0,3.0,10.0,1.0,0.0,0.0,0.7142857142857143,0.21428571428571427,0.0,-0.14484136487558028,0.6538461538461539
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,0.0,1.0,9.0,1.0,0.0,0.0,0.8181818181818182,0.09090909090909091,0.0,-0.1,0.9
7,,,,,,,,,,,
8,0.0,0.0,7.0,10.0,0.0,0.0,0.4117647058823529,0.0,0.0,0.0,0.9071428571428571
9,0.0,1.0,5.0,1.0,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0,-0.16666666666666666,0.8333333333333334
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,0.0,0.0,27.0,1.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.7962962962962963
17,0.0,0.0,11.0,3.0,0.0,0.0,0.7857142857142857,0.0,0.0,0.0,0.8787878787878788
18,0.0,0.0,8.0,2.0,0.0,0.0,0.8,0.0,0.0,0.0,0.90625
19,2.0,0.0,10.0,6.0,1.0,0.25,0.6666666666666666,0.1111111111111111,0.4,0.3952847075210474,0.9812500000000001
20,,,,,,,,,,,
21,0.0,0.0,13.0,1.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,1.0
22,,,,,,,,,,,
23,0.0,0.0,7.0,7.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9693877551020408
24,2.0,0.0,19.0,0.0,1.0,1.0,1.0,0.09523809523809523,1.0,1.0,1.0
25,0.0,0.0,4.0,4.0,0.0,0.0,0.5,0.0,0.0,0.0,0.625
26,4.0,5.0,148.0,47.0,0.4444444444444444,0.0784313725490196,0.7450980392156863,0.05033855033855033,0.13333333333333333,0.09647146023605102,0.8186893031673252
