,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,26.0,2.0,0.0,0.0,0.0,0.07142857142857142,0.9285714285714286,0.0,0.0,
1,0.0,8.0,6.0,0.0,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,
2,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
4,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
6,1.0,8.0,2.0,0.0,0.1111111111111111,1.0,0.2727272727272727,0.8181818181818182,0.2,0.14907119849998599,1.0
7,0.0,3.0,2.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,
8,,,,,,,,,,,
9,0.0,1.0,6.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,2.0,2.0,5.0,1.0,0.5,0.6666666666666666,0.7,0.4,0.5714285714285714,0.3563483225498992,0.7857142857142857
15,,,,,,,,,,,
16,1.0,14.0,13.0,0.0,0.06666666666666667,1.0,0.5,0.5357142857142857,0.125,0.17916128329552333,0.9259259259259259
17,0.0,3.0,11.0,0.0,0.0,0.0,0.7857142857142857,0.21428571428571427,0.0,0.0,
18,0.0,2.0,8.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,
19,0.0,1.0,17.0,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555,0.0,0.0,
20,0.0,2.0,5.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,
21,0.0,5.0,9.0,0.0,0.0,0.0,0.6428571428571429,0.35714285714285715,0.0,0.0,
22,,,,,,,,,,,
23,0.0,4.0,10.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,
24,0.0,8.0,13.0,0.0,0.0,0.0,0.6190476190476191,0.38095238095238093,0.0,0.0,
25,1.0,2.0,5.0,0.0,0.3333333333333333,1.0,0.75,0.375,0.5,0.4879500364742666,1.0
26,5.0,93.0,116.0,1.0,0.05102040816326531,0.8333333333333334,0.5627906976744186,0.4816378066378067,0.09615384615384616,0.1284322894019194,0.9279100529100529
