,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,0.0,26.0,2.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.5
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,0.0,0.0,10.0,1.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.9
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,0.0,1.0,9.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,1.0,0.0,13.0,0.0,1.0,1.0,1.0,0.07142857142857142,1.0,1.0,1.0
18,0.0,1.0,9.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,
19,,,,,,,,,,,
20,1.0,0.0,5.0,1.0,1.0,0.5,0.8571428571428571,0.14285714285714285,0.6666666666666666,0.6454972243679028,1.0
21,0.0,5.0,9.0,0.0,0.0,0.0,0.6428571428571429,0.35714285714285715,0.0,0.0,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,2.0,7.0,81.0,4.0,0.2222222222222222,0.3333333333333333,0.8829787234042553,0.11020408163265305,0.26666666666666666,0.21084199628044661,0.85
