,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,6.0,7.0,0.0,0.0,0.0,0.5384615384615384,0.46153846153846156,0.0,0.0,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,0.0,0.0,60.0,77.0,0.0,0.0,0.43795620437956206,0.0,0.0,0.0,0.5911255411255412
7,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,0.0,1.0,8.0,12.0,0.0,0.0,0.38095238095238093,0.047619047619047616,0.0,-0.25819888974716115,0.6666666666666666
10,1.0,0.0,4.0,3.0,1.0,0.25,0.625,0.125,0.4,0.3779644730092272,1.0
11,0.0,1.0,7.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,0.0,0.0,1.0,2.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5
17,1.0,9.0,89.0,96.0,0.1,0.010309278350515464,0.46153846153846156,0.1365613553113553,0.018691588785046728,-0.1848063685958106,0.6894480519480519
