,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,6.0,7.0,0.0,0.0,0.0,0.5384615384615384,0.46153846153846156,0.0,0.0,
1,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
5,0.0,16.0,10.0,0.0,0.0,0.0,0.38461538461538464,0.6153846153846154,0.0,0.0,
6,73.0,58.0,2.0,4.0,0.5572519083969466,0.948051948051948,0.5474452554744526,0.9562043795620438,0.7019230769230769,-0.04513008904808737,0.4596320346320346
7,0.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,
8,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.0,
9,7.0,2.0,7.0,5.0,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.3611111111111111,0.7268518518518519
10,1.0,0.0,4.0,3.0,1.0,0.25,0.625,0.125,0.4,0.3779644730092272,1.0
11,0.0,3.0,5.0,0.0,0.0,0.0,0.625,0.375,0.0,0.0,
12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
13,,,,,,,,,,,
14,0.0,1.0,3.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,
15,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
16,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.3333333333333333,0.0,-1.0,0.0
17,82.0,95.0,41.0,15.0,0.4632768361581921,0.845360824742268,0.5278969957081545,0.6069811803160344,0.5985401459854014,0.16939229525286825,0.5466209716209716
