,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,6.0,7.0,0.0,0.0,0.0,0.5384615384615384,0.46153846153846156,0.0,0.0,
1,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
5,0.0,11.0,15.0,0.0,0.0,0.0,0.5769230769230769,0.4230769230769231,0.0,0.0,
6,48.0,29.0,31.0,29.0,0.6233766233766234,0.6233766233766234,0.5766423357664233,0.5620437956204379,0.6233766233766234,0.14004329004329005,0.6018398268398267
7,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,1.0,1.0,8.0,11.0,0.5,0.08333333333333333,0.42857142857142855,0.09523809523809523,0.14285714285714285,-0.046829290579084706,0.6574074074074073
10,3.0,0.0,4.0,1.0,1.0,0.75,0.875,0.375,0.8571428571428571,0.7745966692414834,1.0
11,0.0,1.0,7.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0,
12,,,,,,,,,,,
13,0.0,1.0,3.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,
14,,,,,,,,,,,
15,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
16,0.0,0.0,1.0,2.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5
17,52.0,55.0,80.0,45.0,0.48598130841121495,0.5360824742268041,0.5689655172413793,0.44168204058715005,0.5098039215686274,0.12732106376325997,0.6898118085618086
