,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,8.0,1.0,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,0.0,2.0,24.0,0.0,0.0,0.0,0.9230769230769231,0.07692307692307693,0.0,0.0,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,0.0,1.0,3.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,
9,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,0.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.25
11,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
12,,,,,,,,,,,
13,,,,,,,,,,,
14,0.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
15,0.0,1.0,8.0,1.0,0.0,0.0,0.8,0.1,0.0,-0.1111111111111111,0.7777777777777778
16,,,,,,,,,,,
17,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,0.0,1.0,14.0,0.0,0.0,0.0,0.9333333333333333,0.06666666666666667,0.0,0.0,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,1.0,14.0,57.0,6.0,0.06666666666666667,0.14285714285714285,0.7435897435897436,0.20143745143745145,0.09090909090909091,-0.039397590838021856,0.5069444444444444
