,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,0.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.5,0.0
4,,,,,,,,,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,42.0,2.0,0.0,14.0,0.9545454545454546,0.75,0.7241379310344828,0.7586206896551724,0.84,-0.10660035817780522,0.29464285714285715
11,2.0,95.0,225.0,0.0,0.020618556701030927,1.0,0.7049689440993789,0.30124223602484473,0.04040404040404041,0.12040524357523791,1.0
12,,,,,,,,,,,
13,44.0,100.0,227.0,15.0,0.3055555555555556,0.7457627118644068,0.7020725388601037,0.5149657314200042,0.43349753694581283,0.3273531766594311,0.43154761904761907
