,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,0.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.5
4,,,,,,,,,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
10,25.0,0.0,2.0,31.0,1.0,0.44642857142857145,0.46551724137931033,0.43103448275862066,0.6172839506172839,0.16448792373994223,0.7232142857142857
11,2.0,0.0,320.0,0.0,1.0,1.0,1.0,0.006211180124223602,1.0,1.0,1.0
12,,,,,,,,,,,
13,27.0,5.0,325.0,32.0,0.84375,0.4576271186440678,0.9048843187660668,0.48954094381380736,0.5934065934065933,0.5776479132675983,0.7410714285714285
