,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0,1,1,0,0.0,0.0,0.5,0.5,0.0,0.0,
1,4,6,3,0,0.4,1.0,0.5384615384615384,0.7692307692307693,0.5714285714285714,0.36514837167011077,0.6666666666666667
2,1,11,9,2,0.08333333333333333,0.3333333333333333,0.43478260869565216,0.5217391304347826,0.13333333333333333,-0.1460766368670358,0.3916666666666666
3,1,5,7,0,0.16666666666666666,1.0,0.6153846153846154,0.46153846153846156,0.2857142857142857,0.31180478223116176,0.7916666666666666
4,1,3,1,0,0.25,1.0,0.4,0.8,0.4,0.25,0.625
5,0,2,2,0,0.0,0.0,0.5,0.5,0.0,0.0,
6,0,6,2,1,0.0,0.0,0.2222222222222222,0.6666666666666666,0.0,-0.5,0.125
7,0,1,1,0,0.0,0.0,0.5,0.5,0.0,0.0,
8,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,
9,1,0,2,1,1.0,0.5,0.75,0.25,0.6666666666666666,0.5773502691896258,0.75
10,0,1,1,0,0.0,0.0,0.5,0.5,0.0,0.0,
11,1,3,1,0,0.25,1.0,0.4,0.8,0.4,0.25,0.625
12,0,3,1,0,0.0,0.0,0.25,0.75,0.0,0.0,
13,0,5,1,0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,
14,0,1,1,0,0.0,0.0,0.5,0.5,0.0,0.0,
15,0,14,13,0,0.0,0.0,0.48148148148148145,0.5185185185185185,0.0,0.0,
16,0,7,2,0,0.0,0.0,0.2222222222222222,0.7777777777777778,0.0,0.0,
17,0,5,2,0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,
18,0,4,4,0,0.0,0.0,0.5,0.5,0.0,0.0,
19,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,
20,1,5,1,0,0.16666666666666666,1.0,0.2857142857142857,0.8571428571428571,0.2857142857142857,0.16666666666666666,0.5833333333333333
21,3,4,6,0,0.42857142857142855,1.0,0.6923076923076923,0.5384615384615384,0.6,0.50709255283711,0.8
22,4,18,15,0,0.18181818181818182,1.0,0.5135135135135135,0.5945945945945946,0.3076923076923077,0.28747978728803447,0.7272727272727273
23,1,1,2,0,0.5,1.0,0.75,0.5,0.6666666666666666,0.5773502691896258,0.8333333333333334
24,1,5,3,0,0.16666666666666666,1.0,0.4444444444444444,0.6666666666666666,0.2857142857142857,0.25,0.6875
25,3,8,10,2,0.2727272727272727,0.6,0.5652173913043478,0.4782608695652174,0.375,0.1284457725980754,0.5777777777777778
26,1,12,3,1,0.07692307692307693,0.5,0.23529411764705882,0.7647058823529411,0.13333333333333333,-0.227866357593825,0.35
27,1,11,4,0,0.08333333333333333,1.0,0.3125,0.75,0.15384615384615385,0.14907119849998599,0.6333333333333333
28,0,14,2,0,0.0,0.0,0.125,0.875,0.0,0.0,
29,1,5,8,0,0.16666666666666666,1.0,0.6428571428571429,0.42857142857142855,0.2857142857142857,0.32025630761017426,0.8076923076923077
30,0,8,10,0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.0,0.0,
31,25,171,118,7,0.12755102040816327,0.78125,0.4454828660436137,0.6374496339866359,0.2192982456140351,0.11645951130830187,0.6234526757964257
