,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
1,0.0,9.0,4.0,0.0,0.0,0.0,0.3076923076923077,0.6923076923076923,0.0,0.0,
2,0.0,11.0,12.0,0.0,0.0,0.0,0.5217391304347826,0.4782608695652174,0.0,0.0,
3,0.0,6.0,7.0,0.0,0.0,0.0,0.5384615384615384,0.46153846153846156,0.0,0.0,
4,0.0,3.0,2.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,
5,0.0,2.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
6,0.0,5.0,4.0,0.0,0.0,0.0,0.4444444444444444,0.5555555555555556,0.0,0.0,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,0.0,2.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
10,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
11,0.0,2.0,3.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,
12,0.0,2.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
13,1.0,2.0,3.0,0.0,0.3333333333333333,1.0,0.6666666666666666,0.5,0.5,0.4472135954999579,0.8
14,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
15,0.0,13.0,13.0,1.0,0.0,0.0,0.48148148148148145,0.48148148148148145,0.0,-0.1889822365046136,0.07692307692307687
16,0.0,5.0,3.0,1.0,0.0,0.0,0.3333333333333333,0.5555555555555556,0.0,-0.3952847075210474,0.0
17,0.0,5.0,2.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,
18,2.0,4.0,2.0,0.0,0.3333333333333333,1.0,0.5,0.75,0.5,0.3333333333333333,0.5
19,,,,,,,,,,,
20,0.0,3.0,4.0,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,
21,0.0,8.0,5.0,0.0,0.0,0.0,0.38461538461538464,0.6153846153846154,0.0,0.0,
22,0.0,27.0,10.0,0.0,0.0,0.0,0.2702702702702703,0.7297297297297297,0.0,0.0,
23,0.0,3.0,1.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,
24,0.0,7.0,2.0,0.0,0.0,0.0,0.2222222222222222,0.7777777777777778,0.0,0.0,
25,0.0,14.0,9.0,0.0,0.0,0.0,0.391304347826087,0.6086956521739131,0.0,0.0,
26,0.0,9.0,8.0,0.0,0.0,0.0,0.47058823529411764,0.5294117647058824,0.0,0.0,
27,0.0,10.0,6.0,0.0,0.0,0.0,0.375,0.625,0.0,0.0,
28,0.0,10.0,6.0,0.0,0.0,0.0,0.375,0.625,0.0,0.0,
29,0.0,8.0,6.0,0.0,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,
30,2.0,13.0,3.0,0.0,0.13333333333333333,1.0,0.2777777777777778,0.8333333333333334,0.23529411764705882,0.15811388300841897,0.4375
31,6.0,185.0,124.0,2.0,0.031413612565445025,0.75,0.41009463722397477,0.5815470786926761,0.06030150753768843,0.04848924397364972,0.4690705128205128
