,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,,,,,,,,,,,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,1.0,0.0,9.0,0.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
4,0.0,1.0,7.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,0.0,1.0,13.0,0.0,0.0,0.0,0.9285714285714286,0.07142857142857142,0.0,0.0,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,0.0,0.0,3.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.33333333333333337
21,,,,,,,,,,,
22,0.0,0.0,26.0,1.0,0.0,0.0,0.9629629629629629,0.0,0.0,0.0,0.1923076923076923
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,0.0,0.0,5.0,1.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.4
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,0.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.5
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,1.0,2.0,65.0,4.0,0.3333333333333333,0.2,0.9166666666666666,0.042346938775510205,0.25,0.21645482913637398,0.4851282051282051
