,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.5
1,,,,,,,,,,,
2,0.0,4.0,38.0,5.0,0.0,0.0,0.8085106382978723,0.0851063829787234,0.0,-0.1052340112354782,0.5523809523809524
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,0.0,0.0,15.0,3.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.711111111111111
7,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,0.0,1.0,8.0,4.0,0.0,0.0,0.6153846153846154,0.07692307692307693,0.0,-0.19245008972987526,0.5277777777777778
11,,,,,,,,,,,
12,,,,,,,,,,,
13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,,,,,,,,,,,
15,0.0,2.0,23.0,2.0,0.0,0.0,0.8518518518518519,0.07407407407407407,0.0,-0.08,0.43999999999999995
16,0.0,1.0,4.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,
17,0.0,0.0,15.0,1.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.5333333333333333
18,,,,,,,,,,,
19,0.0,1.0,5.0,1.0,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0,-0.16666666666666666,0.8333333333333334
20,,,,,,,,,,,
21,,,,,,,,,,,
22,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
23,0.0,10.0,112.0,20.0,0.0,0.0,-1.0,0.08991338973608476,-1.0,-0.11144179967299829,0.5122420634920635
