,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0
1,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
2,3.0,18.0,24.0,2.0,0.14285714285714285,0.6,0.574468085106383,0.44680851063829785,0.23076923076923078,0.10631548679075012,0.6071428571428571
3,,,,,,,,,,,
4,,,,,,,,,,,
5,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
6,2.0,7.0,8.0,1.0,0.2222222222222222,0.6666666666666666,0.5555555555555556,0.5,0.3333333333333333,0.14907119849998599,0.6444444444444445
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,1.0,2.0,7.0,3.0,0.3333333333333333,0.25,0.6153846153846154,0.23076923076923078,0.2857142857142857,0.03042903097250923,0.29166666666666674
11,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
12,0.0,2.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,,,,,,,,,,,
15,1.0,4.0,21.0,1.0,0.2,0.5,0.8148148148148148,0.18518518518518517,0.2857142857142857,0.2292279532375023,0.6
16,0.0,3.0,2.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,
17,0.0,11.0,4.0,1.0,0.0,0.0,0.25,0.6875,0.0,-0.38297084310253526,0.06666666666666665
18,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
19,1.0,2.0,4.0,0.0,0.3333333333333333,1.0,0.7142857142857143,0.42857142857142855,0.5,0.47140452079103173,1.0
20,,,,,,,,,,,
21,,,,,,,,,,,
22,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
23,9.0,54.0,79.0,10.0,0.14285714285714285,0.47368421052631576,0.5789473684210527,0.4163667347887206,0.21951219512195122,0.04542848057170114,0.5262400793650793
