,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.5,0.5
1,,,,,,,,,,,
2,1.0,10.0,32.0,4.0,0.09090909090909091,0.2,0.7021276595744681,0.23404255319148937,0.125,-0.027741679285882632,0.4428571428571429
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,,,,,,,,,,,
5,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
6,2.0,1.0,14.0,1.0,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.16666666666666666,0.6666666666666666,0.6,0.7333333333333334
7,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
8,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
9,,,,,,,,,,,
10,1.0,3.0,6.0,3.0,0.25,0.25,0.5384615384615384,0.3076923076923077,0.25,-0.08333333333333333,0.5277777777777778
11,,,,,,,,,,,
12,0.0,1.0,3.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,
13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,,,,,,,,,,,
15,1.0,9.0,16.0,1.0,0.1,0.5,0.6296296296296297,0.37037037037037035,0.16666666666666666,0.07592566023652966,0.44
16,0.0,2.0,3.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,
17,0.0,7.0,8.0,1.0,0.0,0.0,0.5,0.4375,0.0,-0.2277100170213244,0.4666666666666667
18,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
19,1.0,2.0,4.0,0.0,0.3333333333333333,1.0,0.7142857142857143,0.42857142857142855,0.5,0.47140452079103173,0.8333333333333334
20,,,,,,,,,,,
21,,,,,,,,,,,
22,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
23,6.0,41.0,91.0,14.0,0.1276595744680851,0.3,0.6381578947368421,0.3392610412390997,0.17910447761194026,-0.007757333974310785,0.4929960317460318
