,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,,,,,,,,,,,
1,,,,,,,,,,,
2,0.0,1.0,45.0,1.0,0.0,0.0,0.9574468085106383,0.02127659574468085,0.0,-0.021739130434782608,0.4891304347826087
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,0.0,2.0,15.0,1.0,0.0,0.0,0.8333333333333334,0.1111111111111111,0.0,-0.08574929257125441,0.4411764705882353
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,0.0,1.0,12.0,0.0,0.0,0.0,0.9230769230769231,0.07692307692307693,0.0,0.0,
11,,,,,,,,,,,
12,0.0,1.0,3.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,0.0,1.0,26.0,0.0,0.0,0.0,0.9629629629629629,0.037037037037037035,0.0,0.0,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,0.0,2.0,5.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,0.0,8.0,106.0,2.0,0.0,0.0,-1.0,0.1303436844216986,-1.0,-0.03604920469572501,0.46515345268542196
