,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
1,,,,,,,,,,,
2,4.0,5.0,36.0,2.0,0.4444444444444444,0.6666666666666666,0.851063829787234,0.19148936170212766,0.5333333333333333,0.461981082112801,0.8821138211382114
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,3.0,1.0,12.0,2.0,0.75,0.6,0.8333333333333334,0.2222222222222222,0.6666666666666666,0.5635445125120265,0.7230769230769231
7,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
8,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
9,,,,,,,,,,,
10,1.0,3.0,7.0,2.0,0.25,0.3333333333333333,0.6153846153846154,0.3076923076923077,0.2857142857142857,0.03042903097250923,0.5666666666666667
11,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
12,0.0,1.0,2.0,1.0,0.0,0.0,0.5,0.25,0.0,-0.3333333333333333,0.6666666666666667
13,,,,,,,,,,,
14,,,,,,,,,,,
15,2.0,4.0,19.0,2.0,0.3333333333333333,0.5,0.7777777777777778,0.2222222222222222,0.4,0.2786391062876764,0.5
16,0.0,2.0,3.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,
17,0.0,7.0,9.0,0.0,0.0,0.0,0.5625,0.4375,0.0,0.0,
18,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
19,0.0,3.0,4.0,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,
20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,,,,,,,,,,,
22,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
23,11.0,31.0,100.0,10.0,0.2619047619047619,0.5238095238095238,0.7302631578947368,0.341757613938465,0.3492063492063492,0.22159543443772106,0.7230873462580781
