,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
2,2.0,7.0,34.0,4.0,0.2222222222222222,0.3333333333333333,0.7659574468085106,0.19148936170212766,0.26666666666666666,0.13790480063068686,0.58130081300813
3,,,,,,,,,,,
4,,,,,,,,,,,
5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
6,2.0,1.0,12.0,3.0,0.6666666666666666,0.4,0.7777777777777778,0.16666666666666666,0.5,0.3882901373576604,0.6615384615384616
7,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
9,,,,,,,,,,,
10,2.0,2.0,8.0,1.0,0.5,0.6666666666666666,0.7692307692307693,0.3076923076923077,0.5714285714285714,0.42600643361512924,0.7333333333333333
11,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
12,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0
13,,,,,,,,,,,
14,,,,,,,,,,,
15,2.0,7.0,16.0,2.0,0.2222222222222222,0.5,0.6666666666666666,0.3333333333333333,0.3076923076923077,0.14744195615489714,0.5978260869565217
16,0.0,3.0,2.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,
17,0.0,3.0,13.0,0.0,0.0,0.0,0.8125,0.1875,0.0,0.0,
18,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
19,0.0,4.0,3.0,0.0,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,
20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,,,,,,,,,,,
22,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
23,10.0,37.0,98.0,11.0,0.2127659574468085,0.47619047619047616,0.6923076923076923,0.45733981808762775,0.29411764705882354,0.15035432055152365,0.7623331158060744
