,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
1,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
2,4.0,9.0,32.0,2.0,0.3076923076923077,0.6666666666666666,0.7659574468085106,0.2765957446808511,0.42105263157894735,0.3335907478273568,0.8861788617886178
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,3.0,1.0,12.0,2.0,0.75,0.6,0.8333333333333334,0.2222222222222222,0.6666666666666666,0.5635445125120265,0.7230769230769231
7,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
8,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
9,,,,,,,,,,,
10,1.0,3.0,7.0,2.0,0.25,0.3333333333333333,0.6153846153846154,0.3076923076923077,0.2857142857142857,0.03042903097250923,0.5
11,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
12,0.0,1.0,2.0,1.0,0.0,0.0,0.5,0.25,0.0,-0.3333333333333333,0.33333333333333337
13,,,,,,,,,,,
14,,,,,,,,,,,
15,0.0,4.0,19.0,4.0,0.0,0.0,0.7037037037037037,0.14814814814814814,0.0,-0.17391304347826086,0.4565217391304348
16,0.0,2.0,3.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,
17,0.0,6.0,10.0,0.0,0.0,0.0,0.625,0.375,0.0,0.0,
18,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
19,0.0,2.0,5.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,
20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,,,,,,,,,,,
22,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
23,9.0,34.0,99.0,12.0,0.20930232558139536,0.42857142857142855,0.7012987012987013,0.3395024609452801,0.28125000000000006,0.13228662779690448,0.6498518095548849
