,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,,,,,,,,,,,
1,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
2,2.0,3.0,36.0,6.0,0.4,0.25,0.8085106382978723,0.10638297872340426,0.3076923076923077,0.21096325392232293,0.6698717948717948
3,,,,,,,,,,,
4,,,,,,,,,,,
5,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0
6,3.0,0.0,11.0,4.0,1.0,0.42857142857142855,0.7777777777777778,0.16666666666666666,0.6,0.5606119105813882,0.8701298701298702
7,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,1.0,2.0,10.0,0.0,0.3333333333333333,1.0,0.8461538461538461,0.23076923076923078,0.5,0.5270462766947299,0.8333333333333334
11,0.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.5,0.5
12,0.0,1.0,3.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,
13,,,,,,,,,,,
14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,2.0,1.0,19.0,5.0,0.6666666666666666,0.2857142857142857,0.7777777777777778,0.1111111111111111,0.4,0.3286878675669583,0.6964285714285714
16,0.0,1.0,4.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,
17,1.0,0.0,14.0,1.0,1.0,0.5,0.9375,0.0625,0.6666666666666666,0.6831300510639733,0.75
18,,,,,,,,,,,
19,0.0,2.0,5.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,9.0,13.0,106.0,22.0,0.4090909090909091,0.2903225806451613,0.7666666666666667,0.1830985070878688,0.339622641509434,0.20725537842823152,0.7599662242519385
