,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,,,,,,,,,,,
1,,,,,,,,,,,
2,0.0,2.0,44.0,1.0,0.0,0.0,0.9361702127659575,0.0425531914893617,0.0,-0.03108349360801046,0.4782608695652174
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,1.0,1.0,15.0,1.0,0.5,0.5,0.8888888888888888,0.1111111111111111,0.5,0.4375,0.6875
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,0.0,2.0,11.0,0.0,0.0,0.0,0.8461538461538461,0.15384615384615385,0.0,0.0,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,0.0,1.0,15.0,0.0,0.0,0.0,0.9375,0.0625,0.0,0.0,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,1.0,6.0,85.0,2.0,0.14285714285714285,0.3333333333333333,0.9148936170212766,0.09250261411165667,0.2,0.17903291805521976,0.5828804347826086
