,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
2,1.0,40.0,6.0,0.0,0.024390243902439025,1.0,0.14893617021276595,0.8723404255319149,0.047619047619047616,0.0564033346637209,0.19565217391304346
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
4,,,,,,,,,,,
5,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
6,2.0,15.0,1.0,0.0,0.11764705882352941,1.0,0.16666666666666666,0.9444444444444444,0.21052631578947367,0.08574929257125441,0.1875
7,,,,,,,,,,,
8,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
10,0.0,10.0,3.0,0.0,0.0,0.0,0.23076923076923078,0.7692307692307693,0.0,0.0,
11,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
12,0.0,2.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
15,1.0,23.0,2.0,1.0,0.041666666666666664,0.5,0.1111111111111111,0.8888888888888888,0.07692307692307693,-0.35,0.03999999999999998
16,0.0,4.0,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,
17,0.0,12.0,4.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,
18,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
19,0.0,5.0,2.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,
20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
22,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
23,4.0,127.0,27.0,1.0,0.030534351145038167,0.8,0.1949685534591195,0.7891677893197651,0.0588235294117647,-0.01130559893562129,0.14105072463768115
