,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,33.0,6674.0,4784.0,14.0,0.004920232592813478,0.7021276595744681,0.41868752716210345,0.5829639287266406,0.009771986970684038,0.015478574432714144,0.6219421160723901
1,42.0,7449.0,4009.0,5.0,0.005606728073688426,0.8936170212765957,0.3521077792264233,0.6511082138200782,0.011143539400371452,0.032587427380624735,0.5691136546796254
2,2.0,543.0,10914.0,46.0,0.003669724770642202,0.041666666666666664,0.9488048674489352,0.04737070838765754,0.006745362563237774,-0.001738004715157349,0.625333675191295
3,31.0,6913.0,4544.0,17.0,0.004464285714285714,0.6458333333333334,0.39765319426336376,0.6035636679704476,0.008867276887871854,0.005593268948673442,0.5195431832067731
4,17.0,2786.0,8671.0,31.0,0.006064930431680342,0.3541666666666667,0.7551499348109517,0.24363320295523685,0.011925640126271484,0.016666502669517656,0.5781463661226034
5,31.0,6712.0,4745.0,17.0,0.004597360225418953,0.6458333333333334,0.4151238591916558,0.5860930030421556,0.009129730525695774,0.007850876202118346,0.5632555424631229
6,23.0,2460.0,8997.0,25.0,0.009262988320579944,0.4791666666666667,0.7840069534984789,0.21581920903954802,0.018174634531805612,0.041434408554840235,0.6853652061330773
7,24.0,3122.0,8335.0,24.0,0.007628734901462174,0.5,0.7265536723163842,0.2734463276836158,0.015028177833437694,0.032899278190716114,0.6231406927351547
8,27.0,4841.0,6616.0,20.0,0.005546425636811832,0.574468085106383,0.5774513212795549,0.42315716272600834,0.010986775178026448,0.019615715350673572,0.598006607500014
9,24.0,4183.0,7274.0,23.0,0.0057047777513667694,0.5106382978723404,0.6343880389429764,0.3656988873435327,0.011283497884344146,0.019274823372669486,0.5576689155937372
10,254.0,45683.0,68889.0,222.0,0.005746618841874983,0.5347517730496454,0.6009927148140828,0.3992854311694921,0.011305662190174627,0.018966287038739038,0.5941515959697793
