,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,47.0,5207.0,1645.0,0.0,0.008945565283593453,1.0,0.24525293520800115,0.7615596463255544,0.017732503301263913,0.046342362361637655,0.7515075579734447
1,44.0,5276.0,1576.0,3.0,0.008270676691729323,0.9361702127659575,0.23481664009276706,0.7711262501811856,0.016396497111980622,0.0325371236533519,0.7031958365937573
2,46.0,5255.0,1597.0,1.0,0.008677607998490851,0.9787234042553191,0.23815045658791129,0.76837222785911,0.01720269259536275,0.041295625844759556,0.7581914272583871
3,48.0,5665.0,1186.0,0.0,0.008401890425345704,1.0,0.17886650239165097,0.8280910276851717,0.016663773650407915,0.03813764461036889,0.7920087700092445
4,48.0,5142.0,1709.0,0.0,0.009248554913294798,1.0,0.2546745905203653,0.7522829395564574,0.018327605956471937,0.048032035037503217,0.7614505789909016
5,46.0,5731.0,1120.0,2.0,0.007962610351393456,0.9583333333333334,0.16901000144948544,0.8373677344542687,0.015793991416309012,0.027437469040107024,0.6993595825426945
6,48.0,5774.0,1077.0,0.0,0.008244589488148402,1.0,0.1630671111755327,0.84389041890129,0.01635434412265758,0.03600106811438667,0.7598905877487472
7,45.0,5037.0,1814.0,2.0,0.00885478158205431,0.9574468085106383,0.2694984053348797,0.7367352855900261,0.017547280171573407,0.041509250354896096,0.7786081857905508
8,47.0,5795.0,1056.0,0.0,0.008045190003423484,1.0,0.15990142070165264,0.8469121484488258,0.01596196298183053,0.035214629867560285,0.6763836309033935
9,46.0,5212.0,1639.0,1.0,0.008748573602130088,0.9787234042553191,0.24427370252247027,0.7622499275152218,0.017342130065975497,0.0421179876254301,0.6896943139221794
10,465.0,54094.0,14419.0,9.0,0.008540004033960387,0.9809397163120568,0.21575117659847165,0.7908587606517112,0.016932278137383315,0.03886251965100014,0.73702904717333
