,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,4.0,257.0,1239.0,6.0,0.01532567049808429,0.4,0.8253652058432935,0.17330677290836655,0.02952029520295203,0.04896579281287344,0.639572192513369
1,4.0,539.0,957.0,6.0,0.007366482504604052,0.4,0.6381142098273572,0.3605577689243028,0.014466546112115734,0.006715952098295611,0.5448529411764707
2,4.0,385.0,1111.0,6.0,0.010282776349614395,0.4,0.7403718459495352,0.2583001328021248,0.020050125313283207,0.02646837207880058,0.5170454545454547
3,5.0,334.0,1162.0,5.0,0.014749262536873156,0.5,0.7749003984063745,0.2250996015936255,0.02865329512893983,0.05381449475957146,0.6022393048128343
4,5.0,479.0,1017.0,5.0,0.010330578512396695,0.5,0.6786188579017264,0.32138114209827356,0.020242914979757085,0.03127075410402666,0.6008689839572192
5,8.0,405.0,1091.0,2.0,0.01937046004842615,0.8,0.7297476759628154,0.2742363877822045,0.03782505910165485,0.09635285638191085,0.8306818181818182
6,7.0,329.0,1167.0,3.0,0.020833333333333332,0.7,0.7795484727755644,0.22310756972111553,0.040462427745664734,0.09365199525663698,0.7031417112299465
7,7.0,583.0,913.0,3.0,0.011864406779661017,0.7,0.6108897742363878,0.39176626826029215,0.02333333333333333,0.05162565760261952,0.7169117647058824
8,5.0,436.0,1060.0,5.0,0.011337868480725623,0.5,0.7071713147410359,0.29282868525896416,0.022172949002217297,0.03722157094092321,0.6585895721925134
9,3.0,373.0,1123.0,6.0,0.007978723404255319,0.3333333333333333,0.748172757475083,0.24983388704318937,0.015584415584415583,0.014960105630641454,0.4659462269756387
10,52.0,4120.0,10840.0,47.0,0.012943956244797402,0.5233333333333333,0.7232900513119174,0.2770418216392459,0.02523113615043337,0.04610475516662998,0.6279849970291147
