,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,12.0,2001.0,1598.0,2.0,0.005961251862891207,0.8571428571428571,0.4456130639357874,0.5571547190700249,0.011840157868771585,0.03766719321475008,0.7302722978605168
1,13.0,3166.0,433.0,1.0,0.004089336269267065,0.9285714285714286,0.12344312205923055,0.8798782175477442,0.008142812402129659,0.009341558588503959,0.6573254475449528
2,9.0,3066.0,533.0,5.0,0.002926829268292683,0.6428571428571429,0.15001383891502906,0.8510932742872959,0.005827128520556815,-0.03648240373049161,0.5107271861231295
3,13.0,2914.0,684.0,2.0,0.004441407584557568,0.8666666666666667,0.1929144755051204,0.8101300858012732,0.008837525492861998,0.009307630474032649,0.5831943672410599
4,15.0,3170.0,428.0,0.0,0.004709576138147566,1.0,0.12261278715748686,0.8815388873512316,0.009375,0.023669125706466072,0.6624143042430981
5,14.0,2881.0,717.0,1.0,0.004835924006908463,0.9333333333333333,0.20232493772488236,0.8012731801826737,0.009621993127147765,0.02136821781750775,0.620094496942746
6,14.0,2283.0,1315.0,1.0,0.0060949063996517195,0.9333333333333333,0.3678383614724606,0.6357597564350955,0.012110726643598616,0.039927207305379096,0.6933944784139336
7,13.0,2506.0,1092.0,2.0,0.005160778086542279,0.8666666666666667,0.305840022142264,0.6972045391641295,0.01026045777426993,0.02381403136398475,0.6972855289975913
8,6.0,2110.0,1488.0,9.0,0.002835538752362949,0.4,0.41350678106836425,0.5856628840298921,0.0056311590802440165,-0.0243354494775078,0.38779877709838795
9,14.0,3393.0,205.0,1.0,0.004109186968007044,0.9333333333333333,0.06061444782729034,0.9429836700802657,0.008182349503214495,-0.002687235962230721,0.5008245321474893
10,123.0,27490.0,8493.0,24.0,0.004516473533662854,0.8361904761904763,0.23847218378079163,0.7642679213949626,0.008982931041279488,0.010158987530039423,0.6043331416612905
