,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,6.0,3678.0,56.0,0.0,0.0016286644951140066,1.0,0.016577540106951873,0.9850267379679144,0.0032520325203252032,0.004942226796840114,0.49560346366720226
1,6.0,3685.0,49.0,0.0,0.001625575724735844,1.0,0.014705882352941176,0.9868983957219252,0.0032458750338111983,0.004618643970288099,0.5327396893411891
2,4.0,2627.0,1107.0,2.0,0.0015203344735841885,0.6666666666666666,0.29705882352941176,0.703475935828877,0.003033750474023511,-0.003230658613777257,0.5267139796464917
3,6.0,3694.0,40.0,0.0,0.0016216216216216215,1.0,0.01229946524064171,0.9893048128342246,0.0032379924446842958,0.004167902990241556,0.4208623460096411
4,7.0,3548.0,185.0,0.0,0.001969057665260197,1.0,0.051336898395721926,0.9505347593582888,0.0039303761931499155,0.009878388147382105,0.6280662814281888
5,5.0,3076.0,657.0,2.0,0.0016228497241155468,0.7142857142857143,0.17700534759358288,0.8237967914438503,0.0032383419689119173,-0.012446897739753155,0.4296429528146646
6,7.0,3700.0,33.0,0.0,0.0018883193957377933,1.0,0.0106951871657754,0.9911764705882353,0.003769520732364028,0.004085692731339803,0.45859324174352295
7,6.0,3678.0,55.0,1.0,0.0016286644951140066,0.8571428571428571,0.016310160427807488,0.9850267379679144,0.003251151449471688,-0.04559882061826726,0.5024683326317401
8,6.0,3339.0,394.0,1.0,0.0017937219730941704,0.8571428571428571,0.10695187165775401,0.8943850267379679,0.003579952267303103,-0.0052472286826689375,0.48704603727373613
9,6.0,2539.0,1194.0,1.0,0.002357563850687623,0.8571428571428571,0.32085561497326204,0.68048128342246,0.0047021943573667705,0.016406119709900708,0.5641001109792966
10,59.0,33564.0,3770.0,7.0,0.0017656373419064997,0.8952380952380953,0.10237967914438502,0.8990106951871658,0.003524118744141163,-0.0022424631308474224,0.5045836435535673
