,App,SHA,TestFilePath,InlineVariable,isInlineVariable,prediction
11,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,com/arangodb/internal/HostHandlerTest.java,0.0,False,True
24,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,com/arangodb/internal/HostHandlerTest.java,0.0,False,True
26,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,com/arangodb/ArangoCollectionTest.java,0.0,False,True
29,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,com/arangodb/ArangoDBTest.java,0.0,False,True
39,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,com/arangodb/ArangoCollectionTest.java,0.0,False,True
49,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,com/arangodb/internal/QueueTimeMetricsImplTest.java,0.0,False,True
58,arangodb/arangodb-java-driver,adfbc642b390084ad698a6900fa3dc3258f76bac,com/arangodb/ArangoSearchTest.java,0.0,False,True
61,arangodb/arangodb-java-driver,adfbc642b390084ad698a6900fa3dc3258f76bac,com/arangodb/PackageVersionTest.java,0.0,False,True
73,arangodb/arangodb-java-driver,f7299792b8d04452038cf8ff5cbf771fa31d71b8,com/arangodb/ArangoViewTest.java,0.0,False,True
84,arangodb/arangodb-java-driver,f7299792b8d04452038cf8ff5cbf771fa31d71b8,com/arangodb/ArangoSearchTest.java,2.0,True,True
97,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,resilience-tests/src/test/java/resilience/retry/RetryTest.java,0.0,False,True
99,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,resilience-tests/src/test/java/resilience/timeout/TimeoutTest.java,0.0,False,True
103,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,integration-tests/src/test/internal/java/arch/BaseTest.java,0.0,False,True
107,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,integration-tests/src/test/jackson/java/arch/RelocationsTest.java,0.0,False,False
115,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/InvertedIndexTest.java,0.0,False,True
116,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/ArangoEdgeCollectionTest.java,0.0,False,True
121,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/ArangoCursorTest.java,0.0,False,True
133,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/example/document/GetDocumentExampleTest.java,0.0,False,True
134,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/example/document/InsertDocumentExampleTest.java,0.0,False,True
137,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/ArangoCollectionTest.java,0.0,False,True
141,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/ArangoGraphTest.java,0.0,False,True
151,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/ConcurrencyTests.java,0.0,False,True
154,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/ArangoDBTest.java,0.0,False,True
159,arangodb/arangodb-java-driver,e60e1d4d919942776b1d2a04a3624d1228e0a65c,resilience-tests/src/test/java/resilience/connection/ConnectionTest.java,0.0,False,True
170,arangodb/arangodb-java-driver,e60e1d4d919942776b1d2a04a3624d1228e0a65c,integration-tests/src/test/jackson/java/arch/RelocationsTest.java,0.0,False,False
176,arangodb/arangodb-java-driver,e60e1d4d919942776b1d2a04a3624d1228e0a65c,driver/src/test/java/mp/ConfigMPDefaultsTest.java,0.0,False,True
190,arangodb/arangodb-java-driver,e60e1d4d919942776b1d2a04a3624d1228e0a65c,driver/src/test/java/com/arangodb/StreamTransactionGraphTest.java,0.0,False,True
193,arangodb/arangodb-java-driver,e60e1d4d919942776b1d2a04a3624d1228e0a65c,driver/src/test/java/com/arangodb/example/graph/AQLActorsAndMoviesExampleTest.java,0.0,False,True
200,arangodb/arangodb-java-driver,e60e1d4d919942776b1d2a04a3624d1228e0a65c,driver/src/test/java/com/arangodb/ArangoCollectionTest.java,0.0,False,True
208,arangodb/arangodb-java-driver,e60e1d4d919942776b1d2a04a3624d1228e0a65c,driver/src/test/java/com/arangodb/ArangoVertexCollectionTest.java,0.0,False,True
216,arangodb/arangodb-java-driver,e60e1d4d919942776b1d2a04a3624d1228e0a65c,driver/src/test/java/com/arangodb/ArangoDBTest.java,0.0,False,True
240,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,driver/src/test/java/com/arangodb/async/example/graph/BaseGraphTest.java,0.0,False,True
272,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,driver/src/test/java/com/arangodb/example/document/GetDocumentExampleTest.java,0.0,False,True
275,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,driver/src/test/java/com/arangodb/example/ssl/SslExampleTest.java,0.0,False,True
286,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,driver/src/test/java/com/arangodb/ConcurrencyTests.java,0.0,False,True
288,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,shaded-integration-tests/src/test/native/java/perf/SimpleSyncPerfTest.java,0.0,False,True
308,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,shaded-integration-tests/src/test/native/java/com/arangodb/async/ArangoCollectionTest.java,0.0,False,True
320,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,shaded-integration-tests/src/test/native/java/com/arangodb/InvertedIndexTest.java,0.0,False,True
325,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,shaded-integration-tests/src/test/native/java/com/arangodb/StreamTransactionGraphTest.java,0.0,False,True
330,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,shaded-integration-tests/src/test/native/java/com/arangodb/example/document/TestEntity.java,0.0,False,True
340,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,shaded-integration-tests/src/test/native/java/com/arangodb/StreamTransactionConflictsTest.java,0.0,False,True
352,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,shaded-integration-tests/src/test/jsonb/java/arch/BaseTest.java,0.0,False,True
377,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,driver/src/test/java/com/arangodb/async/example/graph/ShortestPathInAQLExampleTest.java,0.0,False,True
382,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,driver/src/test/java/com/arangodb/async/example/document/GetDocumentExampleTest.java,0.0,False,True
399,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,driver/src/test/java/com/arangodb/mapping/annotations/ArangoAnnotationsTest.java,0.0,False,True
440,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,shaded-integration-tests/src/test/native/java/com/arangodb/async/example/document/InsertDocumentExampleTest.java,0.0,False,True
445,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,shaded-integration-tests/src/test/native/java/com/arangodb/async/serde/CustomSerdeTest.java,0.0,False,True
449,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,shaded-integration-tests/src/test/native/java/com/arangodb/async/ArangoVertexCollectionTest.java,0.0,False,True
