,App,SHA,TestFilePath,ModifyMethodAnnotation,isModifyMethodAnnotation,prediction
0,seleniumhq/htmlunit-driver,a41933b56b15b8c11a9fe7424ceeeb07c8c7aefe,org/openqa/selenium/htmlunit/HtmlUnitAlertTest.java,0.0,False,False
8,seleniumhq/htmlunit-driver,adb0819ed1b9ebb25dfa87fb35cd20c8e2907dec,org/openqa/selenium/htmlunit/HtmlUnitWebElementTest.java,0.0,False,True
18,seleniumhq/htmlunit-driver,9a5797782cbfedbf88b667597880957ac7986d26,org/openqa/selenium/htmlunit/HtmlUnitAlertTest.java,0.0,False,True
20,seleniumhq/htmlunit-driver,9a5797782cbfedbf88b667597880957ac7986d26,org/openqa/selenium/htmlunit/HtmlUnitWebElementTest.java,0.0,False,True
28,seleniumhq/htmlunit-driver,338bf276b145de14ac537806344b68678327ac2a,org/openqa/selenium/htmlunit/HtmlUnitDriverTest.java,0.0,False,True
33,seleniumhq/htmlunit-driver,f3b61070068baf7acd003258de9185cdbba46c4e,org/openqa/selenium/htmlunit/HtmlUnitAlertTest.java,0.0,False,True
36,seleniumhq/htmlunit-driver,3508969c5191dcaeb5cd18881141ea5a606b7c19,org/openqa/selenium/htmlunit/HtmlUnitAlertTest.java,0.0,False,True
61,seleniumhq/htmlunit-driver,e286a9c3b6839945c9c0a5e234db7839db2abc8e,org/openqa/selenium/htmlunit/HtmlUnitAlertTest.java,0.0,False,True
64,seleniumhq/htmlunit-driver,1368e9432e9b1f0d11078c774b99e3390fa6edb3,org/openqa/selenium/htmlunit/HtmlUnitAlertTest.java,0.0,False,True
70,seleniumhq/htmlunit-driver,b0d70722d31f291acb80a92ab6aa79eeb829181d,org/openqa/selenium/htmlunit/server/InputKeysContainerTest.java,0.0,False,True
71,seleniumhq/htmlunit-driver,7e60f2ba64b066b00b4f8b8de525b03a424f3c34,org/openqa/selenium/htmlunit/HtmlUnitAlertTest.java,0.0,False,True
79,seleniumhq/htmlunit-driver,c42eb35f673b7459ab88da2fc8da3cb6b33a9fc8,org/openqa/selenium/htmlunit/HtmlUnitAlertTest.java,0.0,False,True
100,seleniumhq/htmlunit-driver,d7d722075a8ffb4ce8fed370891cd0cc66b53fb6,org/openqa/selenium/htmlunit/server/InputKeysContainerTest.java,0.0,False,True
101,seleniumhq/htmlunit-driver,d9236251dc198d95af92e6fe2bc2e8d9ba86f736,org/openqa/selenium/htmlunit/HtmlUnitAlertTest.java,0.0,False,True
106,seleniumhq/htmlunit-driver,e939011878878b1779809c7cac4511420df870a7,org/openqa/selenium/htmlunit/HtmlUnitDriverTest.java,0.0,False,True
129,seleniumhq/htmlunit-driver,374eb37a69bf6b291c8a097ebe0c092daae5f550,org/openqa/selenium/htmlunit/HtmlUnitDriverTest.java,0.0,False,True
133,seleniumhq/htmlunit-driver,c8beea2490ce2202c148533b51a475339d023e36,org/openqa/selenium/htmlunit/HtmlUnitDriverTest.java,0.0,False,True
167,seleniumhq/htmlunit-driver,220e27cebb72a8a6882ed189cac1ced547652a86,org/openqa/selenium/htmlunit/server/InputKeysContainerTest.java,0.0,False,True
171,seleniumhq/htmlunit-driver,3c809ef546ba00ff9d4e5b9b1ebb2ef4c8c03ecc,org/openqa/selenium/htmlunit/server/InputKeysContainerTest.java,0.0,False,True
172,seleniumhq/htmlunit-driver,824e148c2d4964dcb4fe0ffbae57633b7b2d1cfa,org/openqa/selenium/htmlunit/HtmlUnitAlertTest.java,0.0,False,True
198,seleniumhq/htmlunit-driver,3480e6a5e1fec9079e38266432abaac043a84c0d,org/openqa/selenium/htmlunit/HtmlUnitWebElementTest.java,0.0,False,True
