,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,2.0,1141.0,29.0,0.0,0.0017497812773403325,1.0,0.026450511945392493,0.9752559726962458,0.0034934497816593887,0.0065856394560579855,0.4459401709401709
1,2.0,1109.0,61.0,0.0,0.0018001800180018,1.0,0.0537542662116041,0.9479522184300341,0.0035938903863432163,0.009687906863719007,0.6553418803418803
2,2.0,1121.0,49.0,0.0,0.0017809439002671415,1.0,0.043515358361774746,0.9581911262798635,0.0035555555555555553,0.008636349889443883,0.7534188034188034
3,2.0,1018.0,152.0,0.0,0.00196078431372549,1.0,0.13139931740614336,0.8703071672354948,0.003913894324853229,0.015960400132247036,0.622008547008547
4,2.0,966.0,203.0,0.0,0.002066115702479339,1.0,0.17506404782237403,0.8266438941076003,0.004123711340206186,0.018941661994481336,0.6676646706586826
5,2.0,883.0,286.0,0.0,0.0022598870056497176,1.0,0.24594363791631085,0.7557643040136636,0.004509582863585119,0.02351359986534883,0.6278870829769033
6,2.0,1105.0,64.0,0.0,0.0018066847335140017,1.0,0.05636208368915457,0.9453458582408198,0.0036068530207394043,0.009945438102271033,0.5519674935842601
7,0.0,900.0,269.0,2.0,0.0,0.0,0.22971818958155424,0.7685738684884714,0.0,-0.07537795511226697,0.16210436270316508
8,1.0,882.0,287.0,1.0,0.0011325028312570782,0.5,0.24594363791631085,0.7540563620836892,0.0022598870056497176,-0.024401589488330423,0.37724550898203596
9,2.0,1168.0,1.0,0.0,0.0017094017094017094,1.0,0.0025619128949615714,0.9991460290350128,0.0034129692832764505,0.0012092464229340137,0.6075705731394354
10,17.0,10293.0,1401.0,3.0,0.001626628149163661,0.85,0.12107129637455809,0.8801236800610897,0.003246979356186827,-0.0005299301874094277,0.5471149093753884
