App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isInvertCondition
salesforce/Argus,dc2083bc6402ed5dfe1454e5041b9453e9f7593e,"2.1.2, 2.2.0",ArgusCore.src.test.java.com.salesforce.dva.argus.service.metric.transform.FillTransformTest.java,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.0,0,0,0,0,22,0,370,22,45,143,36,0.1,31,21,10,3,2,0,57.45,39,24,13,8,5,3,False
salesforce/Argus,de68f68b4ddb70fb84f23d5627a6c1906b96e7a5,"2.2.0, 2.3.0",ArgusCore.src.test.java.com.salesforce.dva.argus.service.DashboardServiceTest.java,5,2,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,2,0,2,0,47,5,6,34,11,0.23,0,0,0,1,1,0,100.0,1,1,1,1,1,1,False
salesforce/Argus,de68f68b4ddb70fb84f23d5627a6c1906b96e7a5,"2.2.0, 2.3.0",ArgusCore.src.test.java.com.salesforce.dva.argus.service.AlertServiceTest.java,22,7,4,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,0,20,0,426,22,45,318,35,0.08,44,44,44,1,1,0,100.0,53,53,53,9,9,9,False
salesforce/Argus,e4dd739f67576081dc796dd2419891961c621354,"2.4.1, 2.6.0",ArgusCore.src.test.java.com.salesforce.dva.argus.service.DefaultAlertServiceTest.java,26,5,0,0,0,0,0,7,0,0,0,0,0,0,4.0,24.0,2,0,0,0,17,0,527,29,64,289,34,0.06,0,0,0,1,1,0,100.0,2,2,2,2,2,2,False
salesforce/Argus,e4dd739f67576081dc796dd2419891961c621354,"2.4.1, 2.6.0",ArgusCore.src.test.java.com.salesforce.dva.argus.service.metric.transform.PercentileTransformTest.java,10,5,0,0,0,0,1,0,0,0,0,0,0,0,1.0,9.0,0,0,0,0,10,0,222,10,23,54,13,0.06,0,0,0,1,1,0,100.0,1,1,1,1,1,1,False
salesforce/Argus,c3e4e3e720d5e10cf7603601efce5ae441750c53,"2.9.0, 2.19.0",ArgusCore.src.test.java.com.salesforce.dva.argus.service.schema.AbstractSchemaServiceTest.java,6,3,3,0,0,0,0,0,0,0,0,0,0,0,4.0,14.0,2,0,0,0,4,0,111,7,15,73,19,0.17,66,85,7,10,3,1,85.86,422,133,42,356,133,36,False
salesforce/Argus,c3e4e3e720d5e10cf7603601efce5ae441750c53,"2.9.0, 2.19.0",ArgusCore.src.test.java.com.salesforce.dva.argus.service.schema.ElasticSearchSchemaServiceTest.java,8,6,2,0,0,0,6,0,0,0,0,0,0,0,1.0,6.0,0,0,0,0,6,0,154,9,32,155,29,0.19,582,230,83,7,1,0,100.0,638,263,91,56,33,8,False
salesforce/Argus,c3e4e3e720d5e10cf7603601efce5ae441750c53,"2.9.0, 2.19.0",ArgusCore.src.test.java.com.salesforce.dva.argus.service.metric.transform.FillTransformTest.java,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.0,0,0,0,0,24,0,419,24,49,164,38,0.09,59,59,8,7,3,0,41.85,143,62,20,84,43,12,False
salesforce/Argus,c3e4e3e720d5e10cf7603601efce5ae441750c53,"2.9.0, 2.19.0",ArgusCore.src.test.java.com.salesforce.dva.argus.service.AlertServiceTest.java,33,19,12,0,0,0,2,8,0,0,0,0,0,1,,,3,0,0,0,30,0,714,33,70,439,132,0.18,560,246,51,11,4,1,45.16,652,246,59,92,65,8,False
salesforce/Argus,c3e4e3e720d5e10cf7603601efce5ae441750c53,"2.9.0, 2.19.0",ArgusCore.src.test.java.com.salesforce.dva.argus.util.AlertUtilsTest.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,8,1,1,5,3,0.38,23,21,12,2,1,0,100.0,26,21,13,3,3,2,False
