App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isExtractClass
slackapi/java-slack-sdk,d8acfd7c44ac23f7710a1e8b37b7fbbbd82d85a5,"jslack-0.1.1, jslack-0.1.2",src.test.java.com.github.seratch.jslack.SlackTest.java,7,5,1,0,0,0,7,0,0,0,0,0,0,1,5.0,10.0,1,2,0,0,7,0,107,7,14,96,19,0.18,104,104,52,2,1,0,100.0,146,138,73,42,34,21,False
slackapi/java-slack-sdk,251c88845e7e75dd806c85c0ebcf76c76aea5e10,"jslack-0.1.3, jslack-0.1.4",src.test.java.com.github.seratch.jslack.SlackTest.java,12,10,1,0,0,0,12,0,0,0,0,0,0,1,10.0,48.0,5,2,0,0,12,0,307,12,24,236,81,0.26,261,80,37,7,1,0,100.0,270,82,39,9,4,1,False
slackapi/java-slack-sdk,8a05fe335eec3917e52516f456d3b2098dd910b6,"jslack-3.1.5, jslack-3.2.0",jslack-api-model.src.test.java.test_locally.api.model.event.MessageEventTest.java,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,10,0,102,10,11,96,60,0.59,-1,-1,-1,1,1,0,100.0,3,3,3,4,4,4,False
slackapi/java-slack-sdk,2ae83b42eb76145009cd0a346b3b3902c9359ba4,"jslack-3.3.0, v0.99.0",slack-app-backend.src.test.java.test_locally.app_backend.oauth.payload.VerificationCodePayloadTest.java,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,8.0,0,0,0,0,2,0,19,2,4,18,6,0.32,2,2,1,3,1,0,100.0,8,7,3,6,5,2,False
slackapi/java-slack-sdk,2ae83b42eb76145009cd0a346b3b3902c9359ba4,"jslack-3.3.0, v0.99.0",slack-app-backend.src.test.java.test_locally.app_backend.interactive_messages.payload.PayloadTypeDetectorTest.java,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,17,3,3,9,3,0.18,0,0,0,3,1,0,100.0,4,3,1,4,3,1,False
slackapi/java-slack-sdk,a882e4170f324d3bfb9b303271d142c3118a3250,"v0.99.2, v0.99.3",bolt.src.test.java.test_locally.AppTest.java,9,6,0,0,0,0,0,0,0,0,0,0,0,0,6.0,29.0,4,0,0,0,9,0,80,9,9,50,24,0.3,77,45,38,2,1,0,100.0,78,45,39,1,1,0,False
slackapi/java-slack-sdk,fd8650c1400ad5c0b802142cd68fa51021614fb7,"v0.99.3, v0.99.4",slack-app-backend.src.test.java.test_locally.app_backend.vendor.aws.lambda.response.ApiGatewayResponseTest.java,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0,0,0,0,3,0,15,3,3,15,4,0.27,13,13,13,1,1,0,100.0,14,14,14,1,1,1,False
slackapi/java-slack-sdk,fd8650c1400ad5c0b802142cd68fa51021614fb7,"v0.99.3, v0.99.4",slack-app-backend.src.test.java.test_locally.app_backend.util.JsonPayloadExtractorTest.java,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,6.0,0,0,0,0,6,0,32,6,7,16,6,0.19,43,43,43,1,1,0,100.0,47,47,47,4,4,4,False
slackapi/java-slack-sdk,fd8650c1400ad5c0b802142cd68fa51021614fb7,"v0.99.3, v0.99.4",bolt.src.test.java.test_locally.middleware.MultiTeamsAuthorizationTest.java,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,3.0,0,0,0,0,3,0,108,14,30,51,3,0.03,16,16,16,1,1,0,100.0,18,18,18,2,2,2,False
slackapi/java-slack-sdk,9a4a24a74c0bfe808ea0bc2e15689f791503e204,"v0.99.4, v0.99.5",bolt.src.test.java.test_locally.service.FileInstallationServiceTest.java,7,0,0,0,0,0,4,0,0,0,0,0,0,0,5.0,22.0,0,5,0,1,5,0,96,9,21,52,0,0.0,107,94,54,2,1,0,100.0,113,100,56,6,6,3,False
